Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина отборная,  t-bone стейк, постное мясо, жареная",198 кКал,0 г,"25,98 г","9,61 г"
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая",198 кКал,0 г,"20,71 г","12,15 г"
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая обжпренная",223 кКал,0 г,"26,05 г","12,44 г"
"Говядина отборная,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", тушеная",254 кКал,0 г,"32,85 г","12,56 г"
"Говядина отборная, бочок, мясо с жиром убранным до уровня 0"", вареное",202 кКал,0 г,"27,55 г","9,31 г"
"Говядина отборная, бочок, мясо с жиром убранным до уровня 0"", сырое",165 кКал,0 г,"21,22 г","8,29 г"
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", вареное",194 кКал,0 г,"27,82 г","8,32 г"
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", сырое",149 кКал,0 г,"21,72 г","6,29 г"
"Говядина отборная, бочок, постоное мясо с жиром убранным до уровня 0"", тушеное",237 кКал,0 г,"28,02 г",13 г
"Говядина отборная, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",174 кКал,0 г,"28,79 г","5,71 г"
"Говядина отборная, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",133 кКал,0 г,"21,41 г","4,66 г"
"Говядина отборная, верхняя часть лопатки,  мясо с жиром убранным до уровня 0"", жаренная",217 кКал,0 г,"26,11 г","11,65 г"
"Говядина отборная, верхняя часть лопатки, мясо с жиром убранным до уровня 0"", жареная",227 кКал,0 г,"25,77 г","12,93 г"
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",228 кКал,0 г,"24,7 г","13,59 г"
"Говядина отборная, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", сырая",182 кКал,0 г,"18,75 г","11,33 г"
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 0"", жареная",217 кКал,0 г,"30,21 г","9,71 г"
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",273 кКал,0 г,"26,43 г","17,78 г"
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",331 кКал,0 г,"23,9 г","25,39 г"
"Говядина отборная, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",246 кКал,0 г,"19,82 г","17,88 г"
"Говядина отборная, вырезка, постное мясо, жареная",211 кКал,0 г,"30,45 г","9,03 г"
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 0"", жареная",233 кКал,0 г,"28,19 г","12,51 г"
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", жареная",278 кКал,0 г,"26,16 г","18,45 г"
"Говядина отборная, короткий филей, мясо с жиром убранным до уровня 1/8"", сырая",237 кКал,0 г,"19,32 г","17,1 г"
"Говядина отборная, короткий филей, постное мясо, жареная",211 кКал,0 г,"29,22 г","9,52 г"
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", жареная",221 кКал,0 г,"25,66 г","12,36 г"
"Говядина отборная, кострец,  мясо с жиром убранным до уровня 0"", сырая",174 кКал,0 г,"20,64 г","9,51 г"
"Говядина отборная, кострец, постное мясо, обжаренная",193 кКал,0 г,"26,34 г","9,73 г"
"Говядина отборная, кострец, постное мясо, сырая",154 кКал,0 г,"21,17 г","7,06 г"
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня 0"",тушеная",306 кКал,0 г,"26,39 г","21,48 г"
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", сырая",268 кКал,"0,97 г","16,98 г","21,31 г"
"Говядина отборная, лопаточная мякоть, мясо с жиром убранным до уровня1/8"", тушеная",359 кКал,0 г,"26,37 г","27,26 г"
"Говядина отборная, лопаточная мякоть, постное мясо,тушеная",231 кКал,0 г,"30,45 г","11,14 г"
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", жареная",170 кКал,0 г,"30,12 г","4,62 г"
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 0"", тушеная",216 кКал,0 г,"35,62 г","7,09 г"
"Говядина отборная, мякоть верхней части бедра, мясо с жиром убранным до уровня 1/8"", жареная",224 кКал,0 г,"30,7 г","10,27 г"
