Продукт,Калорийность,Углеводы,Белки,Жиры
Блины Творожныеан [Пятерочка],158 кКал,"11,6 г",16 г,"5,4 г"
Брецель с Кунжутом [Пятерочка],330 кКал,56 г,10 г,"7,5 г"
Булочка Даллас [Пятерочка],406 кКал,"54,5 г",9 г,"16,9 г"
Булочка из Пшеничной Муки с Кунжутом [Пятерочка],274 кКал,"52,4 г","8,9 г","3,1 г"
Булочка Техас [Пятерочка],401 кКал,"57,5 г","8,9 г",15 г
Бульон из Баранины [Пятерочка],70 кКал,3 г,5 г,5 г
Буше Багет Летний [Пятерочка],277 кКал,"56,5 г","9,3 г","1,6 г"
Буше Гипфель с Начинкой Крем [Пятерочка],333 кКал,"39,1 г","4,7 г","17,5 г"
Буше Розан с Яблоком [Пятерочка],257 кКал,35 г,3 г,12 г
Буше Турновер с Сыром и Ветчиной [Пятерочка],370 кКал,27 г,"8,1 г","25,5 г"
Буше Хлеб Питерский [Пятерочка],210 кКал,"42,6 г","7,4 г","1,2 г"
Ватрушка К Чаю [Пятерочка],260 кКал,35 г,13 г,8 г
Вино [Пятерочка],14 кКал,"3,5 г",0 г,0 г
Виноград Сушеный Светлый [Пятерочка],296 кКал,72 г,2 г,"0,5 г"
Виноград Тайфи [Пятерочка],65 кКал,"16,8 г","0,6 г","0,2 г"
Гематоген с Витамином с [Пятерочка],250 кКал,54 г,7 г,3 г
Геркулес Хлопья Овсяные [Пятерочка],348 кКал,"64,8 г","11,5 г","3,3 г"
Гипфель с Клубникой [Пятерочка],361 кКал,"47,2 г","4,7 г",17 г
Гипфель с Начинкой Смородина [Пятерочка],347 кКал,44 г,5 г,17 г
Грейпфрут [Пятерочка],29 кКал,"6,5 г","0,7 г","0,2 г"
Грейпфрут Свити [Пятерочка],58 кКал,9 г,"0,7 г","0,2 г"
Гречка [Пятерочка],334 кКал,67 г,12 г,2 г
Грудка Куриная [Пятерочка],170 кКал,0 г,19 г,10 г
Груша Желтая [Пятерочка],44 кКал,"10,3 г","0,4 г","0,3 г"
Груша Китайская [Пятерочка],42 кКал,"7,1 г","0,5 г","0,2 г"
Груша Конференция [Пятерочка],48 кКал,"11,7 г","0,7 г","0,9 г"
Груша Красная [Пятерочка],58 кКал,10 г,"0,7 г","0,7 г"
Груша Сезонная [Пятерочка],42 кКал,"10,9 г","0,4 г","0,3 г"
Дип из Тунца [Пятерочка],132 кКал,"1,5 г","11,7 г","8,5 г"
Донат [Пятерочка],320 кКал,"39,3 г","5,9 г","14,4 г"
Донат Ореховый [Пятерочка],329 кКал,31 г,5 г,21 г
Донат с Клубничной Начинкой [Пятерочка],417 кКал,47 г,"4,8 г",24 г
Донат с Ореховой Начинкой [Пятерочка],329 кКал,35 г,5 г,21 г
Дыня Эфиопка [Пятерочка],34 кКал,8 г,"0,8 г","0,2 г"
Запеканка из Творога [Пятерочка],199 кКал,"19,6 г",18 г,"5,4 г"
Запеканка из Творога с Изюмом [Пятерочка],219 кКал,"34,6 г","14,2 г","2,7 г"
Зефир Ванильный [Пятерочка],310 кКал,81 г,1 г,0 г
Йогурт [Пятерочка],75 кКал,"10,2 г","2,8 г","2,5 г"
Какао [Пятерочка],370 кКал,85 г,5 г,2 г
Капуста Квашеная по-Деревенски [Пятерочка],30 кКал,5 г,"1,7 г","0,1 г"
Кармашек с Грибной Начинкой [Пятерочка],330 кКал,"30,2 г","5,7 г","20,6 г"
Картошка [Пятерочка],76 кКал,"16,1 г",2 г,"0,4 г"
Каша Быстрого Приготовления Овсяная с Клубникой [Пятерочка],290 кКал,54 г,"9,5 г","4,5 г"
Каша Овсяная [Пятерочка],299 кКал,54 г,"9,5 г",5 г
Каша Овсяная с Абрикосом [Пятерочка],310 кКал,55 г,10 г,5 г
Кекс Маффин с Ванилином [Пятерочка],426 кКал,50 г,"5,2 г","22,8 г"
Кекс Маффин Шоколадный [Пятерочка],410 кКал,"47,5 г","5,5 г",22 г
Кета [Пятерочка],184 кКал,0 г,"24,3 г","9,6 г"
Кефир [Пятерочка],28 кКал,4 г,3 г,0 г
Киви [Пятерочка],61 кКал,15 г,"1,1 г","0,5 г"
Колбаска Кондитерская [Пятерочка],300 кКал,40 г,5 г,13 г
Конверт с Ветчиной и Сыром [Пятерочка],310 кКал,22 г,15 г,18 г
Конвертик с Вишневой Начинкой [Пятерочка],403 кКал,"52,4 г","5,2 г","19,2 г"
Конвертик с Черничной Начинкой [Пятерочка],403 кКал,52 г,5 г,19 г
Крабовые Палочки [Пятерочка],97 кКал,"17,7 г","5,6 г","0,4 г"
Креветки Мелкие [Пятерочка],110 кКал,"2,5 г",19 г,2 г
Круассан с Маслом [Пятерочка],358 кКал,42 г,"7,6 г",17 г
Круассан с Шоколадно-Ореховой Начинкой [Пятерочка],450 кКал,46 г,6 г,28 г
Круассан с Шоколадной Начинкой [Пятерочка],368 кКал,"37,9 г","4,5 г",22 г
Круассан Сливочный [Пятерочка],340 кКал,33 г,8 г,20 г
Крупа Гречневая Ядрица [Пятерочка],329 кКал,68 г,"12,6 г","2,6 г"
Крылья Куриные Гриль [Пятерочка],207 кКал,0 г,"21,1 г","13,6 г"
Кукурузные Палочки [Пятерочка],470 кКал,80 г,6 г,14 г
Курага [Пятерочка],234 кКал,55 г,"5,2 г","0,5 г"
Куриные Пупки Отварные [Пятерочка],81 кКал,"0,4 г","14,6 г","2,5 г"
Курица [Пятерочка],190 кКал,0 г,16 г,14 г
Курица Гриль [Пятерочка],170 кКал,0 г,19 г,10 г
Курник с Курицей и Картофелем [Пятерочка],300 кКал,35 г,"10,5 г","12,5 г"
Лаваш Армянский От Бадалова [Пятерочка],280 кКал,56 г,9 г,1 г
Лаваш Армянский Тонкий [Пятерочка],197 кКал,"40,8 г","6,3 г","0,7 г"
Лаваш Тонкий Галстян [Пятерочка],277 кКал,"57,6 г","9,3 г",0 г
Лепешка с Соусом Песто [Пятерочка],467 кКал,53 г,14 г,22 г
Лепешка Узбекская [Пятерочка],217 кКал,"29,7 г","12,3 г","5,4 г"
Лимон [Пятерочка],34 кКал,3 г,"0,9 г","0,1 г"
Лук Красный [Пятерочка],42 кКал,"9,1 г","1,4 г",0 г
Лук Репчатый [Пятерочка],41 кКал,"10,4 г","1,4 г",0 г
Льняная Каша [Пятерочка],560 кКал,12 г,21 г,44 г
Манго [Пятерочка],60 кКал,"13,4 г","0,8 г","0,4 г"
Манка [Пятерочка],328 кКал,"67,4 г","10,3 г",1 г
Мармелад [Пятерочка],320 кКал,81 г,0 г,0 г
Масло Сливочное [Пятерочка],661 кКал,"1,3 г","0,8 г","82,5 г"
Матнакаш [Пятерочка],225 кКал,46 г,"8,1 г",1 г
Медальон со Льном [Пятерочка],370 кКал,"46,4 г","7,8 г","17,1 г"
Миндаль Жареный [Пятерочка],640 кКал,17 г,19 г,55 г
Мини Багет [Пятерочка],270 кКал,"54,9 г","8,4 г","1,2 г"
Мини Багет с Луком [Пятерочка],263 кКал,"53,3 г","8,5 г","1,2 г"
Мини Багет с Чесночным Маслом [Пятерочка],279 кКал,43 г,7 г,"8,4 г"
Минтай [Пятерочка],72 кКал,0 г,"15,9 г","0,9 г"
Молоко [Пятерочка],60 кКал,"4,7 г",3 г,"3,2 г"
"Молоко 2,5% [Пятерочка]",53 кКал,"4,7 г",3 г,"2,5 г"
"Молоко 3,2% [Пятерочка]",60 кКал,"4,7 г",3 г,"3,2 г"
Мороженое [Пятерочка],180 кКал,22 г,4 г,8 г
Нектар Манговый с Мякотью [Пятерочка],48 кКал,12 г,0 г,0 г
Нектар Морковно-Яблочный [Пятерочка],20 кКал,5 г,"0,5 г",0 г
Нектар Морковный с Мякотью [Пятерочка],25 кКал,"5,5 г","0,5 г",0 г
Нектарин [Пятерочка],44 кКал,11 г,"1,1 г","0,3 г"
Овсянка Ан [Пятерочка],103 кКал,"11,8 г","4,4 г","3,8 г"
Овсяное Печенье [Пятерочка],400 кКал,69 г,6 г,11 г
Огурец Свежий [Пятерочка],15 кКал,"2,8 г","0,8 г","0,1 г"
Палочка Сырная [Пятерочка],441 кКал,40 г,10 г,26 г
Персик [Пятерочка],45 кКал,"9,5 г","0,9 г","0,1 г"
Печенье Roleo [Пятерочка],393 кКал,72 г,5 г,20 г
Печенье Кольца [Пятерочка],457 кКал,"75,1 г","7,2 г","14,3 г"
Пирог с Брусникой [Пятерочка],409 кКал,46 г,5 г,23 г
Пирог с Капустой и Яйцом [Пятерочка],257 кКал,25 г,8 г,14 г
Пирожок Домашний с Картофелем [Пятерочка],118 кКал,23 г,3 г,"1,5 г"
Пирожок Дрожжевой с Черникой [Пятерочка],301 кКал,"38,5 г","4,6 г","14,1 г"
Пирожок с Капустой [Пятерочка],229 кКал,"38,5 г","4,9 г","6,2 г"
Пирожок с Картошкой [Пятерочка],229 кКал,36 г,"5,2 г",7 г
Пирожок с Мясом/Картофелем [Пятерочка],315 кКал,"24,8 г","9,9 г","19,6 г"
Пирожок с Сосиской [Пятерочка],370 кКал,27 г,8 г,25 г
Пицца с Ветчиной [Пятерочка],259 кКал,30 г,10 г,11 г
Помело [Пятерочка],32 кКал,"6,7 г","0,6 г","0,2 г"
Помидоры [Пятерочка],20 кКал,"3,7 г","1,1 г","0,2 г"
Пончик [Пятерочка],361 кКал,30 г,"6,4 г","24,5 г"
Пончик Глазированный с Начинкой со Вкусом Шоколада [Пятерочка],320 кКал,"39,3 г","5,9 г","14,4 г"
Пончики Берлинские [Пятерочка],470 кКал,65 г,7 г,21 г
Пончики Берлинские с Варёной Сгущёнкой [Пятерочка],460 кКал,58 г,"7,5 г",22 г
Пончики Берлинские с Шоколадным Муссом [Пятерочка],470 кКал,51 г,"6,5 г",26 г
"Пончики с Кремом ""Берлинские"" [Пятерочка]",470 кКал,65 г,7 г,21 г
Попкорн [Пятерочка],400 кКал,70 г,5 г,7 г
Редис [Пятерочка],19 кКал,"3,4 г","1,2 г","0,1 г"
Ржаной Багет с Чесноком [Пятерочка],300 кКал,45 г,"6,5 г",14 г
Рис с Курицей и Овощами [Пятерочка],90 кКал,"8,5 г","6,6 г","3,5 г"
Рожок с Сосиской [Пятерочка],270 кКал,29 г,7 г,14 г
Розан с Абрикосом [Пятерочка],304 кКал,"44,6 г","3,1 г","12,5 г"
Розан со Смородиной [Пятерочка],289 кКал,"40,8 г","3,3 г","12,5 г"
Рулет Куриный [Пятерочка],228 кКал,0 г,"24,3 г",14 г
Салат из Спаржи [Пятерочка],200 кКал,1 г,15 г,15 г
Салат Столичный [Пятерочка],210 кКал,"10,4 г","5,7 г","5,3 г"
Самса с Говядиной [Пятерочка],318 кКал,29 г,9 г,18 г
Самса с Курицей [Пятерочка],360 кКал,41 г,"8,5 г",17 г
Самса с Мясом [Пятерочка],235 кКал,"29,7 г","8,1 г","9,3 г"
Сахар [Пятерочка],400 кКал,100 г,0 г,0 г
Свекла [Пятерочка],43 кКал,"8,8 г","1,5 г","0,1 г"
Свёкла Сырая [Пятерочка],43 кКал,"6,8 г","1,6 г","0,2 г"
Семга Норвежская [Пятерочка],164 кКал,0 г,"16,5 г","10,9 г"
Сёмга Слабосолёная [Пятерочка],209 кКал,0 г,23 г,13 г
Семечки [Пятерочка],660 кКал,"5,8 г","25,5 г","65,3 г"
Скумбрия Холодного Копчения [Пятерочка],150 кКал,0 г,"23,4 г","6,4 г"
Сливы [Пятерочка],42 кКал,"9,6 г","0,8 г","0,3 г"
Слойка Дрожжевая с Вишней [Пятерочка],301 кКал,"38,5 г","4,6 г","14,1 г"
Слойка с Абрикосом [Пятерочка],301 кКал,"38,5 г","4,6 г","14,1 г"
Слойка с Адыгейским Сыром и Зеленью [Пятерочка],280 кКал,38 г,13 г,9 г
Слойка с Говядиной [Пятерочка],320 кКал,24 г,9 г,21 г
Слойка с Капустой [Пятерочка],337 кКал,30 г,"5,7 г",21 г
Слойка с Картофельной Начинкой [Пятерочка],293 кКал,"34,2 г","4,7 г","14,9 г"
Слойка с Клубникой [Пятерочка],340 кКал,64 г,6 г,6 г
Слойка с Курицей и Грибами [Пятерочка],325 кКал,28 г,"7,5 г","20,5 г"
Слойка с Луком и Яйцом [Пятерочка],390 кКал,55 г,10 г,14 г
Слойка с Маком [Пятерочка],390 кКал,37 г,"5,5 г",24 г
Слойка с Малиной [Пятерочка],270 кКал,30 г,"4,5 г",13 г
Слойка с Сосиской [Пятерочка],346 кКал,"33,5 г",8 г,20 г
Слойка с Сырной Начинкой [Пятерочка],390 кКал,35 г,10 г,23 г
Слойка с Творогом и Изюмом [Пятерочка],290 кКал,39 г,9 г,11 г
Слойка с Яблоком [Пятерочка],290 кКал,39 г,"3,5 г",13 г
Слойка со Смородиной [Пятерочка],347 кКал,44 г,5 г,17 г
Сметана [Пятерочка],160 кКал,"3,6 г","2,6 г",15 г
Сок [Пятерочка],45 кКал,11 г,0 г,0 г
Сочень с Творогом [Пятерочка],240 кКал,34 г,9 г,7 г
Студень Сытный [Пятерочка],130 кКал,0 г,9 г,10 г
Сухофрукты и Орехи [Пятерочка],590 кКал,"29,4 г","13,5 г","46,1 г"
Сыр Гауда [Пятерочка],356 кКал,0 г,25 г,27 г
