Продукт,Калорийность,Углеводы,Белки,Жиры
Кисель из яблок по 2-128,97 кКал,"23,7 г","0,1 г","0,1 г"
"Клюквенно-абрикосовый сок-напиток, бутилированный",64 кКал,"16,1 г","0,2 г",0 г
"Клюквенно-виноградный сок-напиток, бутилированный",56 кКал,"13,9 г","0,2 г","0,1 г"
"Клюквенно-яблочный сок-напиток, бутилированный",63 кКал,"15,85 г",0 г,"0,11 г"
"Клюквенно-яблочный сок-напиток, низкокалорийный, с доб. витамина C",19 кКал,"4,6 г","0,1 г",0 г
"Клюквенный сок-коктейль, бутилированный",54 кКал,"13,52 г",0 г,"0,1 г"
"Клюквенный сок-коктейль, бутилированный, низкокалорийный, с кальцием, сахарином и кукурузным подсластителем",19 кКал,"4,6 г","0,02 г","0,01 г"
"Клюквенный сок-коктейль, замороженный концентрат",201 кКал,"51,25 г","0,05 г",0 г
"Клюквенный сок-коктейль, замороженный концентрат, приготовленный на воде",47 кКал,"11,81 г","0,01 г",0 г
"Коктейль микс, без доб сахара, концентрированный, замороженный",287 кКал,"71,6 г","0,08 г","0,01 г"
"Коктейль, виски сауэр, микс, бутилированный",87 кКал,"21,4 г","0,1 г","0,1 г"
"Коктейль, виски сауэр, микс, порошок",383 кКал,"97,3 г","0,6 г","0,1 г"
"Коктейль, виски сауэр, микс,, бутилированный, с доб. калия и натрия",84 кКал,"21,4 г","0,1 г","0,1 г"
Компот вишневый по 2-120,57 кКал,"13,8 г","0,2 г","0,1 г"
Компот грушевый по 2-118,55 кКал,"13,4 г","0,1 г","0,1 г"
Компот из абрикосов по 2-122,56 кКал,"13,6 г","0,2 г",0 г
Компот из айвы по 2-118,56 кКал,"13,7 г","0,1 г","0,1 г"
Компот из крыжовника и черной смородины по 2-124,58 кКал,"13,9 г","0,3 г","0,1 г"
Компот персиковый по 2-122,88 кКал,"21,8 г","0,2 г",0 г
Компот черешневый по 2-120,58 кКал,14 г,"0,2 г","0,1 г"
Компот яблочный по 2-118,55 кКал,"13,6 г","0,1 г","0,1 г"
Кофе жареный в зернах,331 кКал,"29,5 г","13,9 г","14,4 г"
"Кофе и какао (мокка) порошок, с забеливателем и и низкокалорийным подсластителем, без кофеина",440 кКал,"66,6 г",9 г,"13,21 г"
"Кофе молотый, сваренный на водопроводной воде",1 кКал,0 г,"0,12 г","0,02 г"
"Кофе молотый, сваренный на водопроводной воде, без кофеина",0 кКал,0 г,"0,1 г",0 г
Кофе на молоке,58 кКал,"11,2 г","0,7 г",1 г
Кофе на сгущёном молоке,55 кКал,"10,9 г","0,7 г","0,9 г"
"Кофе натуральный, молотый","200,6 кКал","4,1 г","13,9 г","14,4 г"
"Кофе растворимый с цикорием, приготовленный на воде",3 кКал,"0,75 г","0,09 г",0 г
"Кофе растворимый, без кофеина, порошок",351 кКал,76 г,"11,6 г","0,2 г"
"Кофе растворимый, без кофеина, приготовленный на воде",2 кКал,"0,43 г","0,12 г",0 г
"Кофе растворимый, обычный, порошок, с половинным содерж. кофеина",352 кКал,"73,18 г","14,42 г","0,5 г"
"Кофе растворимый, порошок",353 кКал,"75,4 г","12,2 г","0,5 г"
"Кофе растворимый, приготовленный на воде",2 кКал,"0,34 г","0,1 г",0 г
"Кофе растворимый, с сахаром, с ароматом мокка, порошок",460 кКал,"72,14 г","5,29 г","15,87 г"
"Кофе растворимый, с цикорием, порошок",355 кКал,"78,4 г","9,3 г","0,2 г"
"Кофе растворимый, сухой","118,7 кКал",7 г,15 г,"3,6 г"
Кофе чёрный без сахара,7 кКал,"0,2 г","0,2 г","0,5 г"
"Кофе эспрессо, приготовленный в ресторане",9 кКал,"1,67 г","0,12 г","0,18 г"
"Кофе эспрессо, приготовленный в ресторане, без кофеина",9 кКал,"1,69 г","0,1 г","0,18 г"
Краинская,0 кКал,0 г,0 г,0 г
"Лимонад, замороженный концентрат, белый",196 кКал,"49,59 г","0,22 г","0,7 г"
"Лимонад, замороженный концентрат, белый, приготовленный на воде",40 кКал,"10,42 г","0,07 г","0,04 г"
"Лимонад, замороженный концентрат, розовый",192 кКал,"48,56 г","0,22 г","0,69 г"
"Лимонад, замороженный концентрат, розовый, приготовленный на воде",43 кКал,"10,71 г","0,05 г","0,15 г"
"Лимонад, замороженный концетрат, приготовленный на воде",52 кКал,"13,79 г",0 г,0 г
"Лимонад, порошок",376 кКал,"97,17 г",0 г,"1,05 г"
"Лимонад, порошок, приготовленный на воде",14 кКал,"3,59 г",0 г,"0,04 г"
Миргородская,0 кКал,0 г,0 г,0 г
"Молочный коктейль, шоколадный, малокалорийный, с аспартамом (E951), порошок",329 кКал,42 г,25 г,"2,6 г"
"Молочный коктейль, шоколадный, малокалорийный, с аспартамом (E951), порошок, приготовленный на воде со льдом",29 кКал,"3,71 г","2,19 г","0,23 г"
"Молочный напиток, готовый к употреблению, ароматизированный и подслащенный, с доб. кальция, витаминов A и D, с пониж. содерж. жира, 1.83%",77 кКал,"11,68 г","3,05 г","1,83 г"
Морковный сок,56 кКал,"12,6 г","1,1 г","0,1 г"
Напитки газированные на плодово-ягодных настоях,46 кКал,"9,5 г",0 г,0 г
Напитки газированные на цитрусовых настоях,33 кКал,"7,5 г",0 г,0 г
"Напитки газированные на эссенциях («Кока-кола», «Пепси-кола»)",38 кКал,"8,7 г",0 г,0 г
Напиток апельсиновый по 2-160,53 кКал,13 г,"0,1 г",0 г
"Напиток к завтраку, Апельсиновый, готовый к употреблению, с доб нутриентами",53 кКал,"13,1 г",0 г,0 г
Напиток клюквенный по 2-160,51 кКал,"12,4 г","0,1 г",0 г
"Напиток микс, QUAKER OATS, GATORADE, со вкусом апельсина, порошок",388 кКал,"94,11 г",0 г,"1,23 г"
Напиток яблочный по 2-160,54 кКал,"13,2 г","0,1 г","0,1 г"
"Напиток-микс, с клубничным вкусом, порошок",389 кКал,"99,1 г","0,1 г","0,2 г"
"Напиток-микс, с клубничным вкусом, порошок, приготовленный на цельном молоке",88 кКал,"12,3 г",3 г,"3,1 г"
"Напиток-сок,  смесь овощей и фруктов, с уменьш. кол. калорий, с низкокалорийным подсластителем, и доб. витамина C",4 кКал,"1,1 г",0 г,0 г
"Напиток-сок, смесь овощей и фруктов, с доб. нутриентов",29 кКал,"7,47 г","0,04 г","0,01 г"
"Напиток-шейк, фаст фуд, ванильный",148 кКал,"18,69 г","3,37 г","6,52 г"
"Напиток-шейк, фаст фуд, клубничный",113 кКал,"18,5 г","3,4 г","2,8 г"
"Напиток, из плодов шиповника по 2-162",50 кКал,"11,9 г","0,2 г","0,1 г"
"Напиток, Коктейль персиковый по 2-164",98 кКал,"18,5 г","1,7 г","1,9 г"
"Напиток, рисовый, неподслащенный, с доб. кальция, витаминов A и D",47 кКал,"8,87 г","0,28 г","0,97 г"
"Напиток, с ароматом апельсина, на завтрак, низкокалорийный, порошок",217 кКал,"82,1 г","3,6 г",0 г
"Напиток, с ароматом апельсина, на завтрак, порошок",386 кКал,"98,54 г",0 г,0 г
"Напиток, с ароматом апельсина, на завтрак, с мякотью, замороженный концентрат",172 кКал,"42,7 г","0,1 г","0,5 г"
"Напиток, с ароматом апельсина, на завтрак, с мякотью, замороженный концентрат, приготовленный на воде",49 кКал,"12,21 г","0,03 г","0,14 г"
"Напиток, с ароматом апельсина, на завтрак, с соком и мякотью, замороженный концентрат",153 кКал,"38,9 г","0,4 г",0 г
"Напиток, с фруктовым ароматом, сухая смесь, низкокалорийный, с заменителем сахара аспартам (E951)",218 кКал,"87,28 г","0,45 г","0,04 г"
"Напиток, с шоколадным вкусом, на основе молока и сыворотки",49 кКал,"10,08 г","0,64 г","0,4 г"
"Напиток, со апельсиновым вкусом, к завтраку, порошок, приготовленный на воде",49 кКал,"12,55 г",0 г,0 г
"Напиток, со вкусом лимонада, порошок",380 кКал,"97,9 г",0 г,"1,01 г"
"Напиток, со вкусом лимонада, порошок, приготовленный на воде",27 кКал,"6,9 г",0 г,"0,07 г"
"Напиток, со вкусом шоколада, порошок, приготовленный на цельном молоке",85 кКал,"11,56 г","3,23 г","3,24 г"
"Напиток, со вкусом эг-ногг, порошок, приготовленный на цельном молоке",95 кКал,"14,2 г","2,93 г","3,02 г"
"Напиток, фруктовый напиток-сок, с уменьшенным содрежржанием сахара, с доб. витамина E",39 кКал,10 г,0 г,"0,07 г"
"Напиток, Хорчата (орчата), как подают в ресторанах",54 кКал,"11,52 г","0,48 г","0,71 г"
"Напиток, Яблочно-абрикосовый, консервы",58 кКал,14 г,"0,2 г",0 г
Нарзан,0 кКал,0 г,0 г,0 г
Полюстрово,0 кКал,0 г,0 г,0 г
Свекольный сок,61 кКал,"14,1 г",1 г,0 г
Сироп из шиповника,285 кКал,"70,5 г","0,2 г",0 г
Славяновская,0 кКал,0 г,0 г,0 г
"Смесь солодовых напитков, натуральных, порошок",428 кКал,"71,11 г","14,29 г","9,52 г"
"Смесь солодовых напитков, натуральных, порошок, приготовленный с цельным молоком",88 кКал,"10,13 г","3,86 г","3,62 г"
"Смесь солодовых напитков, натуральных, с добавками, порошок",384 кКал,"83,59 г","9,41 г","1,33 г"
"Смесь солодовых напитков, натуральных, с добавками, порошок, приготовленный с цельным молоком",86 кКал,"10,67 г","3,67 г","3,21 г"
"Смесь солодовых напитков, шоколад, порошок",411 кКал,"82,14 г","5,1 г","4,76 г"
"Смесь солодовых напитков, шоколад, порошок, приготовленный с цельным молоком",85 кКал,"10,7 г","3,37 г","3,29 г"
"Смесь солодовых напитков, шоколад, с добавками, порошок",389 кКал,"84,6 г","4,9 г","3,4 г"
"Смесь солодовых напитков, шоколад, с добавками, порошок, приготовленный с цельным молоком",87 кКал,"10,79 г","3,29 г","3,26 г"
Сок абрикосовый,55 кКал,"12,7 г","0,5 г",0 г
Сок ананасовый,52 кКал,"11,8 г","0,3 г","0,1 г"
Сок апельсиновый,60 кКал,"13,2 г","0,7 г","0,1 г"
Сок виноградный,70 кКал,"16,3 г","0,3 г","0,2 г"
Сок вишнёвый,51 кКал,"11,4 г","0,7 г","0,2 г"
Сок гранатовый,56 кКал,"14,2 г","0,3 г","0,1 г"
Сок грейпфрутовый,38 кКал,"7,9 г","0,3 г","0,1 г"
Сок лимонный,33 кКал,"3,9 г","0,6 г","0,24 г"
Сок мандариновый,45 кКал,"9,8 г","0,8 г","0,2 г"
Сок персиковый,68 кКал,"16,5 г","0,3 г",0 г
Сок сливовый,68 кКал,"15,2 г","0,3 г","0,1 г"
Сок томатный,18 кКал,"2,9 г",1 г,"0,1 г"
Сок яблочный,46 кКал,"10,1 г","0,5 г","0,1 г"
"Сок-напиток и цитрусовых, замороженный концентрат",162 кКал,40 г,"1,2 г","0,1 г"
"Сок-напиток и цитрусовых, замороженный концентрат, приготовленный на воде",46 кКал,"11,32 г","0,34 г","0,03 г"
"Спортивный напиток, COCA-COLA, POWERADE, с лимонно-лаймовым вкусом, готовый к употреблению",32 кКал,"7,84 г",0 г,"0,05 г"
"Фруктовый пунш, напиток, без добавления нутриентов, консервированный",48 кКал,"11,97 г",0 г,0 г
"Фруктовый пунш, напиток, замороженный концентрат",162 кКал,41 г,"0,2 г",0 г
"Фруктовый пунш, напиток, замороженный концентрат, приготовленный на воде",46 кКал,"11,56 г","0,06 г",0 г
"Фруктовый пунш, напиток, порошок, без доб натрия, приготовленный на воде",37 кКал,"9,47 г",0 г,"0,01 г"
"Фруктовый пунш, напиток, с доб. нутриентов, консервированный",47 кКал,"11,74 г",0 г,0 г
"Фруктовый пунш, сок-напиток, замороженный концентрат",175 кКал,"42,9 г","0,3 г","0,7 г"
"Фруктовый пунш, сок-напиток, замороженный концентрат, приготовленный на воде",42 кКал,"11,4 г","0,07 г","0,17 г"
Чай (сухая заварка),"140,9 кКал",4 г,20 г,"5,1 г"
Чай заваренный с лимоном,28 кКал,"6,8 г","0,1 г",0 г
Чай заваренный с молоком,43 кКал,"8,2 г","0,7 г","0,8 г"
Чай заваренный с сахаром,28 кКал,7 г,"0,1 г",0 г
Чай черный байховый (сухая заварка),"151,8 кКал","6,9 г",20 г,"5,1 г"
"Чай, готовый к употреблению, ARIZONA iced tea,  с лимонным вкусом",39 кКал,"9,77 г",0 г,0 г
"Чай, готовый к употреблению, LIPTON BRISK, холодный, с лимонным вкусом",35 кКал,"8,81 г",0 г,0 г
"Чай, готовый к употреблению, NESTLE, COOL NESTEA, холодный, с лимонным вкусом",36 кКал,"9,09 г",0 г,0 г
"Чай, готовый к употреблению, WENDY'S, фаст фуд, без льда",1 кКал,0 г,"0,22 г",0 г
"Чай, заваренный, приготовленный, на водопроводной воде",1 кКал,"0,3 г",0 г,0 г
"Чай, заваренный, приготовленный, на водопроводной воде, без кофеина",1 кКал,"0,3 г",0 г,0 г
"Чай, заваренный, приготовленный, на дистиллированной воде",1 кКал,"0,3 г",0 г,0 г
"Чай, растворимый,  неподслащенный, с ароматом лимона, порошок",345 кКал,"73,52 г","7,4 г","0,18 г"
"Чай, растворимый, не подслащенный, порошок, приготовленный",1 кКал,"0,17 г","0,06 г",0 г
"Чай, растворимый, неподслащенный, порошок",315 кКал,"50,16 г","20,21 г",0 г
"Чай, растворимый, неподслащенный, порошок, без кофеина",315 кКал,"50,16 г","20,21 г",0 г
"Чай, растворимый, подслащенный сахарином натрия, со вкусом лимона, порошок",338 кКал,"85,4 г","3,3 г","0,6 г"
"Чай, растворимый, подслащенный сахарином натрия, со вкусом лимона, порошок, без кофеина",338 кКал,"85,4 г","3,3 г","0,6 г"
"Чай, растворимый, подслащенный сахарином натрия, со вкусом лимона, порошок, приготовленный",2 кКал,"0,44 г","0,02 г",0 г
"Чай, растворимый, подслащенный сахаром, со вкусом лимона, с доб. аскорбиновой кислоты, порошок",385 кКал,"97,6 г","0,6 г","0,3 г"
"Чай, растворимый, с сахаром, со вкусом лимона, без доб. аскорбиновой кислоты, порошок",401 кКал,"97,85 г","0,12 г","0,73 г"
"Чай, растворимый, с сахаром, со вкусом лимона, без доб. аскорбиновой кислоты, порошок, без кофеина",401 кКал,"98,55 г","0,12 г","0,73 г"
"Чай, растворимый, с сахаром, со вкусом лимона, без доб. аскорбиновой кислоты, порошок, приготовленный",35 кКал,"8,51 г","0,01 г","0,06 г"
"Чай, травяной, не ромашковый, заваренный",1 кКал,"0,2 г",0 г,0 г
"Чай, травяной, ромашковый, заваренный",1 кКал,"0,2 г",0 г,0 г
Черноплодно-рябиновый сок,50 кКал,"11,4 г","0,1 г","0,1 г"
Черносмородиновый сок,41 кКал,"7,3 г","0,5 г",0 г
Шиповниковый сок,67 кКал,"16,1 г","0,1 г","0,2 г"
Шоколадный сироп,279 кКал,"62,5 г","2,1 г","1,13 г"
"Шоколадный сироп, приготовленный на цельном молоке",90 кКал,"12,48 г","3,07 г","2,96 г"
"Энергетический напиток, AMP",46 кКал,"12,08 г","0,25 г","0,08 г"
"Энергетический напиток, AMP, без сахара",2 кКал,"1,03 г",0 г,0 г
"Энергетический напиток, FULL THROTTLE",46 кКал,"12,08 г","0,25 г","0,08 г"
"Энергетический напиток, Monster (Монстр)",47 кКал,"11,28 г","0,47 г",0 г
"Энергетический напиток, RED BULL (Ред булл), с доб кофеина, витаминами: PP, B5, B6 и B12",43 кКал,"10,23 г","0,46 г",0 г
"Энергетический напиток, ROCKSTAR",58 кКал,"12,7 г","0,34 г","0,22 г"
"Энергетический напиток, ROCKSTAR, без сахара",4 кКал,"0,7 г","0,25 г","0,08 г"
"Энергетический напиток, VAULT Zero, без сахара, со вкусом цитрусовых",1 кКал,"0,7 г","0,25 г","0,08 г"
"Энергетический напиток, VAULT Zero, со вкусом цитрусовых",49 кКал,"12,99 г",0 г,0 г
Яблочно морковный напиток. Консервы,68 кКал,"15,5 г","0,3 г",0 г
Яблочно-абрикосовый напиток. Консервы,58 кКал,14 г,"0,2 г",0 г
Яблочно-виноградный напиток,52 кКал,"12,3 г","0,3 г",0 г
