Продукт,Калорийность,Углеводы,Белки,Жиры
Багет Французский с Чесночным Маслом [Ашан],321 кКал,"43,7 г",7 г,13 г
Багет Чико [Ашан],328 кКал,"46,4 г",7 г,"12,7 г"
Багет Шпинатный [Ашан],80 кКал,14 г,1 г,2 г
Баклажаны По-Гречески [Ашан],45 кКал,"7,8 г","1,1 г",1 г
Баклажаны по-Итальянски [Ашан],65 кКал,9 г,1 г,3 г
Баклажаны по-Корейски [Ашан],96 кКал,"6,7 г","1,3 г","7,1 г"
Баклажаны с Паприкой [Ашан],96 кКал,"7,6 г","1,2 г",7 г
Балык Свиной [Ашан],158 кКал,0 г,17 г,10 г
Бальзамический Уксус [Ашан],122 кКал,"29,2 г","0,8 г","0,1 г"
Банан [Ашан],96 кКал,21 г,"1,5 г","0,5 г"
Банановые Чипсы [Ашан],339 кКал,"53,6 г","4,7 г",31 г
Баранина Тазобедренная Часть [Ашан],198 кКал,0 г,"16,1 г","14,9 г"
Баранки Сдобные с Маком [Ашан],380 кКал,69 г,"8,5 г","8,5 г"
Батат [Ашан],61 кКал,"14,6 г",2 г,0 г
Батон [Ашан],263 кКал,"50,5 г","7,5 г","2,9 г"
Батон Арбатский [Ашан],268 кКал,"52,4 г","8,3 г","2,2 г"
Батон Домашний [Ашан],262 кКал,"52,4 г","8,3 г","1,7 г"
Батон Нарезной [Ашан],263 кКал,"50,5 г","7,7 г","2,9 г"
Батон с Изюмом [Ашан],279 кКал,"48,8 г",10 г,"4,9 г"
Батон с Солодом и Кориандром [Ашан],259 кКал,43 г,"6,1 г","1,1 г"
Батончик Barre Chocolat Noir [Ашан],86 кКал,"13,4 г","1,6 г","2,9 г"
Батончик Энерджи-Мик [Ашан],400 кКал,48 г,11 г,18 г
Батончики Мюсли Зеленое Яблоко [Ашан],391 кКал,"74,9 г",5 г,"6,2 г"
Батончики Мюсли Красные Фрукты [Ашан],388 кКал,"71,8 г","5,2 г","8,9 г"
Батончики Мюсли Шоколадные [Ашан],87 кКал,"14,9 г","1,1 г","2,4 г"
Бедра Куриные [Ашан],145 кКал,"0,3 г",15 г,11 г
Бедро Индейки Гриль [Ашан],132 кКал,0 г,15 г,8 г
Безе Меренги [Ашан],389 кКал,"92,7 г","4,5 г",0 г
Бекон Копчено-Вареный [Ашан],446 кКал,0 г,8 г,46 г
Белый Грейпфрут [Ашан],33 кКал,"8,4 г","0,7 г","0,1 г"
Бельгийские Вафли [Ашан],399 кКал,"55,3 г","7,6 г","19,6 г"
Бельгийские Вафли со Сгущеным Молоком [Ашан],339 кКал,"55,3 г","7,6 г","19,6 г"
Беляш с Мясом [Ашан],402 кКал,"33,7 г","11,6 г","24,2 г"
Бефстроганов из Телятины [Ашан],100 кКал,0 г,"19,5 г","2,5 г"
Био Овощной Суп-Пюре [Ашан],25 кКал,"2,7 г",1 г,1 г
Био Соевый Натуральный Напиток [Ашан],36 кКал,1 г,"3,5 г",2 г
Био-Йогурт 1% [Ашан],40 кКал,4 г,"3,2 г",1 г
Био-Йогурт Инжир-Чиа [Ашан],83 кКал,13 г,"3,3 г",2 г
Био-Йогурт Малина [Ашан],83 кКал,13 г,"3,3 г",2 г
Био-Йогурт Чернослив-Злаки [Ашан],83 кКал,13 г,"3,3 г",2 г
Биойогурт [Ашан],40 кКал,4 г,"3,2 г",1 г
Биокефир 1% [Ашан],36 кКал,"3,6 г","3,1 г",1 г
"Бисквитное Пирожное ""Какао-Молоко"" [Ашан]",435 кКал,"52,9 г","5,8 г","21,9 г"
Бисквитные Палочки [Ашан],519 кКал,"61,2 г","6,4 г","27,1 г"
Биточки по-Албански [Ашан],145 кКал,"7,9 г","15,1 г","5,9 г"
Бифидум Бактерин [Ашан],49 кКал,"3,9 г","2,9 г","2,5 г"
Бифидус Натуральный [Ашан],64 кКал,"4,3 г","3,8 г","3,5 г"
"Бифштекс Говяжий ""Фермерский"" [Ашан]",160 кКал,0 г,18 г,10 г
Бифштекс Говяжий [Ашан],160 кКал,0 г,18 г,10 г
Бифштекс из Говядины [Ашан],107 кКал,0 г,20 г,3 г
Бифштекс из Мраморной Говядины [Ашан],180 кКал,0 г,18 г,12 г
Бифштекс с Беконом по-Итальянски Фермерский [Ашан],190 кКал,0 г,14 г,15 г
Бифштекс с Яйцом [Ашан],326 кКал,"1,6 г","26,1 г",24 г
Блинчики без Начинки [Ашан],206 кКал,"32,9 г",8 г,"4,7 г"
Блинчики с Абрикосовой Начинкой [Ашан],221 кКал,"43,5 г","4,4 г","3,3 г"
Блинчики с Варёной Сгущёнкой [Ашан],292 кКал,"40,9 г","5,7 г","11,7 г"
Блинчики с Ветчиной и Сыром [Ашан],198 кКал,"13,8 г","9,8 г","11,3 г"
Блинчики с Вишневой Начинкой [Ашан],137 кКал,"29,5 г","2,6 г","1,1 г"
Блинчики с Вишней [Ашан],187 кКал,"38,1 г","3,8 г","2,2 г"
Блинчики с Курицей [Ашан],212 кКал,"23,2 г",11 г,"8,4 г"
Блинчики с Мясом [Ашан],253 кКал,25 г,12 г,"11,7 г"
Блинчики с Творогом [Ашан],178 кКал,"23,9 г","9,3 г",5 г
"Блинчики Яблоко, Лимон, Корица [Ашан]",192 кКал,"38,9 г","4,1 г","2,2 г"
Блины Простые [Ашан],178 кКал,"4,2 г","4,6 г","3,2 г"
Бородинские Традиции с Солодом [Ашан],216 кКал,"43,3 г","7,8 г","0,9 г"
Борщ Говядина [Ашан],73 кКал,"7,5 г","3,3 г","3,3 г"
Бостон (Крем Ваниль) [Ашан],300 кКал,30 г,"3,5 г",17 г
Бразильская Смесь [Ашан],45 кКал,"5,3 г","2,6 г","1,5 г"
Бразильский Орех [Ашан],590 кКал,16 г,13 г,62 г
Брауни [Ашан],437 кКал,51 г,"4,9 г",24 г
Бретонские Галеты со Сливочным Маслом [Ашан],520 кКал,63 г,"6,5 г","26,5 г"
Брецель с Солью [Ашан],250 кКал,46 г,7 г,3 г
Бри Де Фамиль [Ашан],280 кКал,0 г,18 г,23 г
Бриош Парижский [Ашан],327 кКал,55 г,"8,7 г","7,9 г"
Бриош Руанский [Ашан],338 кКал,56 г,"8,5 г","8,8 г"
Бриошь с Шоколадом [Ашан],350 кКал,59 г,"8,5 г",9 г
Бриут с Куриной Грудкой [Ашан],320 кКал,"32,2 г","10,5 г","16,3 г"
Брокколи [Ашан],40 кКал,5 г,3 г,"0,5 г"
Брокколи Замороженная [Ашан],26 кКал,"3,9 г","2,8 г","0,5 г"
Брокколи на Пару [Ашан],33 кКал,"5,1 г","2,5 г","0,4 г"
Брюссельская Капуста Замороженная [Ашан],35 кКал,3 г,5 г,"0,3 г"
Бублик с Кунжутом [Ашан],177 кКал,31 г,5 г,5 г
Бублик с Маком [Ашан],177 кКал,31 г,5 г,5 г
Буженина [Ашан],250 кКал,0 г,10 г,23 г
Буженина Запеченая [Ашан],308 кКал,0 г,14 г,28 г
Буженина Купеческая [Ашан],273 кКал,0 г,12 г,25 г
Булгур [Ашан],360 кКал,75 г,12 г,"1,5 г"
Булгур Био [Ашан],340 кКал,63 г,"13,2 г","1,7 г"
Булка с Корицей и Миндалём [Ашан],398 кКал,68 г,"9,3 г","8,9 г"
Булка Французская [Ашан],260 кКал,"54,9 г","8,2 г","0,9 г"
Булочка [Ашан],267 кКал,"54,9 г","8,2 г","0,9 г"
Булочка 8 Злаков [Ашан],227 кКал,"43,7 г","13,9 г","5,3 г"
Булочка Баварская [Ашан],195 кКал,42 г,"5,5 г","1,5 г"
Булочка Бургер Дарк [Ашан],249 кКал,"46,1 г","6,1 г","4,5 г"
Булочка Гурман [Ашан],240 кКал,49 г,"8,5 г",1 г
Булочка Даллас [Ашан],402 кКал,"54,2 г","8,5 г","16,9 г"
Булочка Кайзерка [Ашан],232 кКал,"47,2 г",7 г,"1,7 г"
Булочка Кукурузная [Ашан],260 кКал,"28,5 г",12 г,"2,5 г"
Булочка Отрубная [Ашан],240 кКал,44 г,"7,5 г","3,5 г"
Булочка по-Деревенски [Ашан],262 кКал,"54,4 г","8,8 г","1,1 г"
Булочка Пряный Аромат [Ашан],216 кКал,"43,3 г","7,8 г","0,9 г"
Булочка Пшенично-Ржаная [Ашан],223 кКал,46 г,"7,5 г",1 г
Булочка Ржано-Пшеничная [Ашан],204 кКал,40 г,"6,8 г","1,2 г"
Булочка с Изюмом [Ашан],263 кКал,"50,5 г","7,5 г","2,9 г"
Булочка с Кунжутом [Ашан],267 кКал,"54,9 г","8,2 г","0,9 г"
Булочка с Луком [Ашан],267 кКал,"54,9 г","8,2 г","0,9 г"
Булочка с Семгой [Ашан],180 кКал,"23,1 г","10,3 г","13,8 г"
Булочка с Солодом и Кориандром [Ашан],249 кКал,43 г,"6,1 г","1,1 г"
Булочка с Сыром [Ашан],249 кКал,"20,2 г","4,7 г","14,5 г"
Булочка с Шоколадом [Ашан],288 кКал,"47,7 г","8,3 г","7,1 г"
Булочка Сдобная [Ашан],370 кКал,49 г,10 г,13 г
Булочка со Злаками [Ашан],269 кКал,37 г,13 г,5 г
Булочка Техас [Ашан],416 кКал,59 г,"8,4 г","16,2 г"
Булочное Изделие Кукурузное [Ашан],273 кКал,"46,4 г",11 г,"4,8 г"
Бургер Говяжий [Ашан],300 кКал,0 г,10 г,29 г
Бургер из Телятины [Ашан],89 кКал,0 г,16 г,3 г
