Продукт,Калорийность,Углеводы,Белки,Жиры
Пюре Картофельное Классическое [Роллтон],330 кКал,74 г,8 г,"0,3 г"
Пюре Картофельное с Говядиной [Роллтон],370 кКал,67 г,6 г,8 г
Пюре Картофельное с Жареным Луком [Роллтон],390 кКал,69 г,"8,5 г",9 г
Пюре Картофельное с Куриным Вкусом [Роллтон],410 кКал,68 г,"8,5 г",11 г
Пюре Картофельное с Курицей [Роллтон],370 кКал,67 г,6 г,8 г
Пюре Картофельное с Молоком [Роллтон],350 кКал,68 г,9 г,"4,5 г"
Пюре Картофельное с Мясным Вкусом [Роллтон],370 кКал,67 г,6 г,8 г
Пюре Картофельное с Нежным Сливочным Вкусом [Роллтон],377 кКал,"75,3 г","10,5 г","3,8 г"
Пюре Картофельное с Сухариками [Роллтон],370 кКал,67 г,6 г,8 г
Пюре Картофельное со Вкусом Ветчины и Сыра [Роллтон],370 кКал,70 г,9 г,6 г
Пюре Картофельное со Вкусом Жареных Лисичек со Сметаной [Роллтон],370 кКал,67 г,6 г,8 г
Пюре Картофельное со Вкусом Томленой Курочки с Сыром [Роллтон],360 кКал,66 г,6 г,8 г
Пюре Картофельное со Сливочным Вкусом [Роллтон],360 кКал,70 г,6 г,6 г
Пюре с Мясным Вкусом [Роллтон],377 кКал,"75,3 г","10,5 г","3,8 г"
Пюре с Сухариками [Роллтон],377 кКал,"75,3 г","10,5 г","3,8 г"
Ракушки [Роллтон],344 кКал,"71,5 г","10,4 г","1,1 г"
Ребрышки Барбекю [Роллтон],400 кКал,54 г,6 г,17 г
Рожки [Роллтон],340 кКал,72 г,11 г,1 г
Рожки Яичные [Роллтон],340 кКал,70 г,11 г,2 г
Рожки Яичные [Роллтон],340 кКал,70 г,13 г,1 г
Соевый Соус [Роллтон],25 кКал,2 г,4 г,0 г
Спагетти [Роллтон],340 кКал,72 г,11 г,1 г
Спагетти из Тсп [Роллтон],340 кКал,71 г,11 г,1 г
Спагетти Яичные [Роллтон],340 кКал,70 г,11 г,2 г
Спирали [Роллтон],340 кКал,71 г,11 г,1 г
Спирали с Томатами и Шпинатом [Роллтон],343 кКал,"71,2 г","10,4 г","1,1 г"
Трубки с Томатами и Шпинатом [Роллтон],343 кКал,"71,2 г","10,4 г","1,1 г"
Хашбраун [Роллтон],370 кКал,75 г,7 г,5 г
