Продукт,Калорийность,Углеводы,Белки,Жиры
Закуска овощная с чесноком (марийское национальное блюдо),"166,4 кКал","12,5 г","1,7 г","12,5 г"
Закуска свекольная с орехами,"177,6 кКал","25,8 г","6,9 г","5,9 г"
"Заливное из птицы или дичи, или мясных продуктов в форме","213,6 кКал","2,4 г","18,7 г","14,4 г"
Икра овощная закусочная,"85,7 кКал","9,1 г",2 г,"4,8 г"
Икра осетровых рыб и икра кетовая,"308,5 кКал","10,7 г","16,7 г","22,4 г"
Канапе с бужениной и окороком,"354,9 кКал",18 г,"9,9 г","27,6 г"
Канапе с икрой и севрюгой,"253,5 кКал",19 г,"11,5 г","15,1 г"
"Канапе с икрой, семгой и осетром","289,2 кКал","20,7 г",19 г,"15,1 г"
Канапе с килькой и яйцом,"238,7 кКал","12,6 г","11,4 г","16,2 г"
Канапе с паштетом,"267,3 кКал","23,1 г","8,6 г","16,2 г"
Канапе с паюсной икрой,"233,3 кКал","17,7 г","10,2 г",14 г
Канапе с сыром,"388,5 кКал","21,7 г","13,4 г","28,2 г"
Канапе с сыром и окороком,"364,9 кКал","18,5 г","12,8 г","27,1 г"
Квашеная капуста с орехами,"82,8 кКал","16,6 г","4,7 г","0,2 г"
"Колбаса русская, свадебная","160,9 кКал","0,5 г","13,1 г","11,8 г"
Колбаски из сельдерея,114 кКал,"12,6 г","5,3 г","5,1 г"
"Колбасные, мясные изделия, запеченные в тесте","265,1 кКал","23,9 г","11,6 г","14,3 г"
Корзиночки (тарталетки) для закусок,342 кКал,43 г,"9,4 г","15,9 г"
"Корзиночки с крабами, креветками, кальмарами или морским гребешком","360,4 кКал","22,4 г","11,5 г","25,6 г"
Корзиночки с паштетом,"318,6 кКал","22,3 г","11,8 г","20,8 г"
Корзиночки с салатом,"327,9 кКал","23,2 г","10,8 г","21,9 г"
Корзиночки с языком или ветчиной,"311,6 кКал","24,8 г","11,3 г","19,3 г"
Лазанки из картофеля,"60,7 кКал","3,9 г","3,4 г","3,6 г"
"Лососина, семга, кета малосоленые","218,6 кКал","1,4 г",33 г,"9,1 г"
Масса  из ветчины,"327,3 кКал","0,3 г","17,4 г","28,5 г"
Масса из брынзы,"273,1 кКал",1 г,"13,2 г",24 г
Масса из сыра для бутербродов,"451,7 кКал","2,6 г","18,1 г","41,1 г"
Острая закуска,"32,6 кКал","6,5 г","1,7 г","0,1 г"
Пикантная закуска из брынзы,0 кКал,0 г,0 г,0 г
Птичьи гнезда из сельди иваси,0 кКал,0 г,0 г,0 г
Расстегаи закусочные,"266,4 кКал","33,8 г","13,3 г","9,6 г"
Соленые фаршированные огурцы,"65,3 кКал","6,4 г","3,6 г",3 г
Студень говяжий,"209,3 кКал","3,7 г","26,6 г","9,9 г"
Студень из субпродуктов птицы,"347,4 кКал","1,9 г","30,2 г","24,4 г"
Студень свиной,"354,6 кКал","2,7 г","25,1 г","27,1 г"
Творог с орехами и чесноком,"358,2 кКал","28,9 г","16,4 г","20,5 г"
Творожные шарики,"316,3 кКал","6,5 г","13,6 г","26,4 г"
Творожный бутерброд,"242,7 кКал","27,6 г","9,5 г","11,2 г"
"Фарш из пасты ""Океан""","177,5 кКал","5,3 г","14,8 г","10,9 г"
Холодец по домашнему,"257,8 кКал","3,6 г","26,1 г","15,5 г"
Яйца фаршированные креветками,"247,4 кКал","1,6 г","10,3 г","22,2 г"
