Продукт,Калорийность,Углеводы,Белки,Жиры
"Брюква, вареная, без соли",30 кКал,"5,04 г","0,93 г","0,18 г"
"Брюква, вареная, с солью",30 кКал,"5,04 г","0,93 г","0,18 г"
"Брюква, сырая",37 кКал,"6,32 г","1,08 г","0,16 г"
Брюссельская капуста,35 кКал,"3,1 г","4,8 г","0,3 г"
"Брюссельская капуста, вареная, без соли",36 кКал,"4,5 г","2,55 г","0,5 г"
"Брюссельская капуста, вареная, с солью",36 кКал,"4,5 г","2,55 г","0,5 г"
"Брюссельская капуста, замороженная, вареная, без соли",42 кКал,"4,22 г","3,64 г","0,39 г"
"Брюссельская капуста, замороженная, вареная, с солью",42 кКал,"4,22 г","3,64 г","0,39 г"
"Брюссельская капуста, замороженная, неприготовленная",41 кКал,"4,06 г","3,78 г","0,41 г"
"Брюссельская капуста, сырая",43 кКал,"5,15 г","3,38 г","0,3 г"
"Валерианелла, сырая",21 кКал,"3,6 г",2 г,"0,4 г"
"Вассаби, корень, сырой",109 кКал,"15,74 г","4,8 г","0,63 г"
"Виноградные листья, консервированные",69 кКал,"1,81 г","4,27 г","1,97 г"
"Виноградные листья, сырые",93 кКал,"6,31 г","5,6 г","2,12 г"
Водный шпинат (болотная капуста),19 кКал,"1,03 г","2,6 г","0,2 г"
"Водный шпинат (болотная капуста) вареный, без соли",20 кКал,"1,8 г","2,08 г","0,24 г"
"Водный шпинат (болотная капуста) вареный, с солью",20 кКал,"1,8 г","2,08 г","0,24 г"
Водяной кресс (жеруха),11 кКал,"0,79 г","2,3 г","0,1 г"
"Восковая тыква, вареная, без соли",14 кКал,"2,04 г","0,4 г","0,2 г"
"Восковая тыква, вареная, с солью",11 кКал,"1,45 г","0,4 г","0,2 г"
"Восковая тыква, сырая",13 кКал,"0,1 г","0,4 г","0,2 г"
Голубцы овощные по 1-256,95 кКал,"9,7 г","2,2 г","5,2 г"
"Горох и лук, замороженные, вареные, без соли",45 кКал,"6,43 г","2,54 г","0,2 г"
"Горох и лук, замороженные, вареные, с солью",45 кКал,"6,43 г","2,54 г","0,2 г"
"Горох и лук, замороженные, неприготовленные",70 кКал,"10,01 г","3,98 г","0,32 г"
"Горох и лук, консервированные",51 кКал,"6,27 г","3,28 г","0,38 г"
