Продукт,Калорийность,Углеводы,Белки,Жиры
Жир свиной топленый (смалец),902 кКал,0 г,0 г,100 г
Жир утиный,882 кКал,0 г,0 г,"99,8 г"
"Заправка для салата по домашнему рецепту, приготовленная",157 кКал,"14,9 г","4,2 г","9,5 г"
Кокосовое масло (жидкое),892 кКал,0 г,0 г,"99,06 г"
Кокосовое масло (жидкое),899 кКал,0 г,0 г,"99,9 г"
"Кокосовое масло гидрогенизированное, для пищевой промышленности, для изготовления взбитых кремов и добавок для кофе",880 кКал,0 г,0 г,"99,5 г"
"Кокосовое масло, для пищевой промышленности, для конфетной глазури, масляных спреев, жарки орехов",884 кКал,0 г,0 г,100 г
"Кокосовое масло, кондитерский жир, стандартная основа для глазури для мороженного, промышленное",884 кКал,0 г,0 г,100 г
Конопляное масло,899 кКал,0 г,0 г,"99,85 г"
"Кукурузное и канола (рапсовое) масла, смесь",884 кКал,0 г,0 г,100 г
Кукурузное масло,899 кКал,0 г,0 г,"99,9 г"
Кукурузное масло для заправки салатов или готовки,900 кКал,0 г,0 г,100 г
"Кукурузное, арахисовое и оливковое масла (смесь)",884 кКал,0 г,0 г,100 г
Кунжутное масло,899 кКал,0 г,0 г,"99,9 г"
Кунжутное масло для заправки салатов или готовки,884 кКал,0 г,0 г,100 г
Льняное масло,898 кКал,0 г,0 г,"99,8 г"
Льняное масло с добавлением измельченного льняного семени,878 кКал,"0,39 г","0,37 г","99,01 г"
Льняное масло холодного отжима,884 кКал,0 г,"0,11 г","99,98 г"
Льняное масло холодного отжима,884 кКал,0 г,"0,11 г","99,98 г"
Маковое масло,884 кКал,0 г,0 г,100 г
Маковое масло,"898,2 кКал",0 г,0 г,"99,8 г"
"Маргарин ""Славянский""",745 кКал,"1,2 г","0,5 г",82 г
"Маргарин ""Эра""",743 кКал,1 г,"0,3 г",82 г
Маргарин «Здоровье»,743 кКал,"0,7 г","0,5 г",82 г
Маргарин «Экстра»,744 кКал,1 г,"0,5 г",82 г
"Маргарин (спред) на основе растительного масла, 20% жира",175 кКал,"0,4 г",0 г,"19,5 г"
"Маргарин (спред) на основе растительного масла, 20% жира, без соли",175 кКал,"0,4 г",0 г,"19,5 г"
"Маргарин (спред) на основе растительного масла, 35-39% жира",349 кКал,"1,52 г","0,23 г","37,98 г"
"Маргарин (спред) на основе растительного масла, 37% жира, с солью, с витамином D",339 кКал,"0,66 г","0,51 г","37,77 г"
"Маргарин (спред) на основе растительного масла, 40% жира, с солью",362 кКал,1 г,1 г,40 г
"Маргарин (спред) на основе растительного масла, 50% жира, с солью",450 кКал,1 г,1 г,50 г
"Маргарин (спред) на основе растительного масла, 52% жира, подслащенный",534 кКал,"16,7 г",0 г,52 г
"Маргарин (спред) на основе растительного масла, 60% жира, без соли",533 кКал,"0,86 г","0,17 г","59,81 г"
"Маргарин (спред) на основе растительного масла, 60% жира, без соли, с витамином D",542 кКал,"0,86 г","0,17 г","59,81 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью",526 кКал,0 г,"0,6 г","59,17 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, stick",537 кКал,"0,69 г","0,12 г","60,39 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, tub",533 кКал,"0,86 г","0,17 г","59,81 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D",535 кКал,0 г,"0,6 г","59,17 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D, stick",537 кКал,"0,69 г","0,12 г","60,39 г"
"Маргарин (спред) на основе растительного масла, 60% жира, с солью, с витамином D, tub",533 кКал,"0,86 г","0,17 г","59,81 г"
"Маргарин (спред) на основе растительного масла, 67-70% жира",606 кКал,"0,59 г","0,07 г","68,29 г"
"Маргарин (спред) на основе растительного масла, обезжиренный",44 кКал,"4,34 г","0,1 г","3,04 г"
"Маргарин (спред) на основе растительного масла, обезжиренный, жидкий, с солью",43 кКал,"2,5 г","1,5 г",3 г
"Маргарин (спред) на основе соевого масла, 70% жира",628 кКал,"1,53 г","0,26 г","70,22 г"
"Маргарин (спред) с йогуртом, 35% жира, с солью",330 кКал,2 г,2 г,35 г
"Маргарин (спред) с йогуртом, 70% жира, с солью",630 кКал,"0,5 г","0,3 г",70 г
"Маргарин (спред), ""Light Buttery Spread"" компании SMART BALANCE",337 кКал,"1,98 г","0,02 г","36,41 г"
"Маргарин (спред), ""Light Spread"" компании BENECOL",357 кКал,"5,71 г",0 г,"38,71 г"
"Маргарин (спред), ""Omega Plus Spread"" компании SMART BALANCE (с фитостеролами и рыбим жиром)",605 кКал,"0,16 г","0,13 г","70,95 г"
"Маргарин (спред), ""Regular Buttery Spread"" компании SMART BALANCE",583 кКал,"0,14 г","0,14 г","64,63 г"
"Маргарин (спред), ""Smart Squeeze"" компании SMART BEAT",47 кКал,"7,1 г",0 г,"2,1 г"
"Маргарин (спред), ""Super Light "" компании  SMART BEAT, без жирных кислот",158 кКал,0 г,0 г,"17,1 г"
"Маргарин в смеси со сливочным маслом, 80% жира, без соли",718 кКал,"0,6 г","0,9 г","80,7 г"
"Маргарин в смеси со сливочным маслом, 80% жира, на основе соевого масла",727 кКал,"0,77 г","0,31 г","80,32 г"
Маргарин молочный столовый,743 кКал,1 г,"0,3 г",82 г
Маргарин низкокалорийный 60% жирности,545 кКал,"0,7 г","0,5 г",60 г
Маргарин сливочный,743 кКал,1 г,"0,3 г",82 г
Маргарин шоколадный сливочный,641 кКал,"20,1 г","1,1 г","62,2 г"
"Маргарин, ""Soft Spread"" компании CANOLA HARVEST (включая рапсовое, пальмовое масла и масло из пальмовых зерен), 80% жира, в пластиковой коробке",730 кКал,"1,39 г","0,41 г","80,32 г"
"Маргарин, 80% жира, без соли, в пачке",717 кКал,"0,7 г","0,16 г","80,71 г"
"Маргарин, 80% жира, без соли, в пластиковой коробке",713 кКал,"0,75 г","0,22 г","80,17 г"
"Маргарин, 80% жира, без соли, с витамином D",717 кКал,"0,7 г","0,16 г","80,71 г"
"Маргарин, 80% жира, на основе кукурузного и соевого масел",717 кКал,"0,7 г","0,16 г","80,71 г"
"Маргарин, 80% жира, с солью, в пачке",717 кКал,"0,7 г","0,16 г","80,71 г"
"Маргарин, 80% жира, с солью, в пластиковой коробке",713 кКал,"0,75 г","0,22 г","80,17 г"
"Маргарин, 80% жира, с солью, с витамином D, в пачке",717 кКал,"0,7 г","0,16 г","80,71 г"
"Маргарин, 80% жира, с солью, с витамином D, в пластиковой коробке",713 кКал,"0,75 г","0,22 г","80,17 г"
"Маргарин, 80% жира, соевый",719 кКал,"0,9 г","0,9 г","80,5 г"
"Маргариновый спред, 40-49% жира",401 кКал,0 г,"0,27 г","44,46 г"
Масло авокадо,884 кКал,0 г,0 г,100 г
Масло грецкого ореха,884 кКал,0 г,0 г,100 г
Масло из абрикосовых косточек,"899,1 кКал",0 г,0 г,"99,9 г"
Масло из абрикосовых косточек,884 кКал,0 г,0 г,100 г
Масло из бразильского ореха бабассу,884 кКал,0 г,0 г,100 г
Масло из виноградных косточек,884 кКал,0 г,0 г,100 г
Масло из ореха ши,884 кКал,0 г,0 г,100 г
Масло из рисовых отрубей,884 кКал,0 г,0 г,100 г
Масло из ростков пшеницы,884 кКал,0 г,0 г,100 г
Масло из семян томатов,884 кКал,0 г,0 г,100 г
Масло из семян чайного дерева,884 кКал,0 г,0 г,100 г
Масло из сливовых косточек,"899,1 кКал",0 г,0 г,"99,9 г"
Масло из фундука,884 кКал,0 г,0 г,100 г
Масло какао,884 кКал,0 г,0 г,100 г
Масло какао,899 кКал,0 г,0 г,"99,9 г"
Масло какаовелла,898 кКал,0 г,0 г,"99,7 г"
Масло канола,899 кКал,0 г,0 г,"99,9 г"
Масло канола (распсовое),884 кКал,0 г,0 г,100 г
"Масло канола (распсовое) высокоолеиновое (70%), стойкое к окислению",884 кКал,0 г,0 г,100 г
"Масло канола (распсовое) высокоолеиновое, промышленное",900 кКал,0 г,0 г,100 г
"Масло канола (распсовое) частично гидрогенизированное, промышленное, для глубокой жарки",884 кКал,0 г,0 г,100 г
"Масло канола (распсовое), промышленное, для салатов, вока и легкой обжарки,  покупное",884 кКал,0 г,0 г,100 г
"Масло канола (распсовое), промышленное, не пенящееся",884 кКал,0 г,0 г,100 г
"Масло компании ""ENOVA"", для готовки и салатов, 80% диглициридов",884 кКал,0 г,0 г,100 г
Масло купу ассу,884 кКал,0 г,0 г,100 г
Масло мускатного ореха,884 кКал,0 г,0 г,100 г
Масло пловное,0 кКал,0 г,0 г,0 г
"Масло растительное, с низким содержанием жирных кислот",884 кКал,0 г,0 г,100 г
Масло укухуба,884 кКал,0 г,0 г,100 г
