Продукт,Калорийность,Углеводы,Белки,Жиры
"Фасоль кранберри (римская фасоль, борлотти), зрелые семена, консервированная",83 кКал,"8,82 г","5,54 г","0,28 г"
Фасоль мотыльковая (mothbeans),343 кКал,"61,52 г","22,94 г","1,61 г"
"Фасоль мотыльковая (mothbeans), вареная, без соли",117 кКал,"20,96 г","7,81 г","0,55 г"
"Фасоль мотыльковая (mothbeans), вареная, с солью",117 кКал,"20,96 г","7,81 г","0,55 г"
"Фасоль пинто (пёстрая), зрелая",347 кКал,"47,05 г","21,42 г","1,23 г"
"Фасоль пинто (пёстрая), зрелая, вареная, без соли",143 кКал,"17,22 г","9,01 г","0,65 г"
"Фасоль пинто (пёстрая), зрелая, вареная, с солью",143 кКал,"17,22 г","9,01 г","0,65 г"
"Фасоль пинто (пёстрая), зрелая, консервированная",82 кКал,"10,58 г","4,6 г","0,56 г"
"Фасоль пинто (пёстрая), зрелая, консервированная, с пониженным содержанием соли",82 кКал,"10,58 г","4,6 г","0,56 г"
"Фасоль пинто (пёстрая), зрелая, консервированная, содержимое без жидкости, промытая водой",117 кКал,"20,77 г","7,04 г","0,97 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена",62 кКал,"11,6 г","5,25 г","0,9 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена, вареные, без соли",22 кКал,"4,1 г","1,86 г","0,32 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена, вареные, с солью",20 кКал,"3,5 г","1,86 г","0,32 г"
"Фасоль пинто (пёстрая), консервированная, содержимое без жидкости",114 кКал,"14,72 г","6,99 г","0,9 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженная",170 кКал,"26,8 г","9,8 г","0,5 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженная, вареная, без соли",162 кКал,"25,47 г","9,31 г","0,48 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженные, вареные, с солью",162 кКал,"25,47 г","9,31 г","0,48 г"
"Фасоль розовая, зрелые семена",343 кКал,"51,49 г","20,96 г","1,13 г"
"Фасоль розовая, зрелые семена, вареная, без соли",149 кКал,"22,61 г","9,06 г","0,49 г"
"Фасоль розовая, зрелые семена, вареная, с солью",149 кКал,"22,61 г","9,06 г","0,49 г"
Фасоль стручковая,23 кКал,3 г,"2,5 г","0,3 г"
"Фасоль стручковая шелли, консервированная",30 кКал,"2,79 г","1,76 г","0,19 г"
"Фасоль стручковая, желтая",31 кКал,"3,73 г","1,82 г","0,12 г"
"Фасоль стручковая, желтая, вареная, без соли",35 кКал,"4,58 г","1,89 г","0,28 г"
"Фасоль стручковая, желтая, вареная, с солью",35 кКал,"4,58 г","1,89 г","0,28 г"
"Фасоль стручковая, желтая, замороженная",33 кКал,"4,78 г","1,8 г","0,21 г"
"Фасоль стручковая, желтая, замороженная, вареная, без соли",28 кКал,"3,45 г","1,49 г","0,17 г"
"Фасоль стручковая, желтая, замороженная, вареная, с солью",28 кКал,"3,45 г","1,49 г","0,17 г"
"Фасоль стручковая, желтая, консервированная",15 кКал,2 г,"0,8 г","0,1 г"
"Фасоль стручковая, желтая, консервированная, без соли",15 кКал,2 г,"0,8 г","0,1 г"
"Фасоль стручковая, зеленая",31 кКал,"4,27 г","1,83 г","0,22 г"
"Фасоль стручковая, зеленая, вареная, без соли",35 кКал,"4,68 г","1,89 г","0,28 г"
"Фасоль стручковая, зеленая, вареная, замороженная, без соли",28 кКал,"3,45 г","1,49 г","0,17 г"
"Фасоль стручковая, зеленая, вареная, с солью",35 кКал,"4,68 г","1,89 г","0,28 г"
"Фасоль стручковая, зеленая, замороженная",33 кКал,"4,94 г","1,79 г","0,21 г"
"Фасоль стручковая, зеленая, замороженная, вареная, с солью",28 кКал,"3,45 г","1,49 г","0,17 г"
"Фасоль стручковая, зеленая, замороженная, приготовленная в микороволновке",33 кКал,"3,58 г","1,98 г","0,41 г"
"Фасоль стручковая, зеленая, консервированная",15 кКал,"1,77 г","0,72 г","0,17 г"
"Фасоль стручковая, зеленая, консервированная, без соли",15 кКал,2 г,"0,8 г","0,1 г"
"Фасоль стручковая, зеленая, консервированная, без соли, содержимое без жидкости",22 кКал,"2,42 г","1,12 г","0,46 г"
"Фасоль стручковая, зеленая, консервированная, содержимое без жидкости",21 кКал,"2,29 г","1,05 г","0,41 г"
"Фасоль стручковая, зеленая, приготовленная в микроволновке",33 кКал,"3,01 г","2,31 г","0,5 г"
"Фасоль стручковая, консервированная, без соли, содержимое без жидкости",20 кКал,"3,2 г","1,15 г","0,1 г"
"Фасоль стручковая, консервированная, со специями",16 кКал,"1,99 г","0,83 г","0,2 г"
"Фасоль стручковая, консервированная, содержимое без жидкости",20 кКал,"3,2 г","1,15 г","0,1 г"
Фасоль стручковая. Консервы,16 кКал,"2,4 г","1,2 г","0,1 г"
"Фасоль французская, зрелые семена, вареная, без соли",129 кКал,"14,62 г","7,05 г","0,76 г"
"Фасоль французская, зрелые семена, вареная, с солью",129 кКал,"14,62 г","7,05 г","0,76 г"
"Фасоль французская, зрелые семена, сырая",343 кКал,"38,91 г","18,81 г","2,02 г"
"Фасоль черная черепаха, зрелые семена",339 кКал,"47,75 г","21,25 г","0,9 г"
"Фасоль черная черепаха, зрелые семена, вареная без соли",130 кКал,"16,05 г","8,18 г","0,35 г"
"Фасоль черная черепаха, зрелые семена, вареная с солью",130 кКал,"16,05 г","8,18 г","0,35 г"
"Фасоль черная черепаха, зрелые семена, консервированная",91 кКал,"9,65 г","6,03 г","0,29 г"
"Фасоль черная, зрелые семена",341 кКал,"46,86 г","21,6 г","1,42 г"
"Фасоль черная, зрелые семена, вареная, без соли",132 кКал,"15,01 г","8,86 г","0,54 г"
"Фасоль черная, зрелые семена, вареная, с солью",132 кКал,"15,01 г","8,86 г","0,54 г"
"Фасоль черная, зрелые семена, консервированная, со сниженным содержанием натрия",91 кКал,"9,65 г","6,03 г","0,29 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая",336 кКал,"49,43 г","23,52 г","1,26 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, вареная, без соли",116 кКал,"14,26 г","7,73 г","0,53 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, вареная, с солью",116 кКал,"14,26 г","7,73 г","0,53 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, консервированная",77 кКал,"10,33 г","4,74 г","0,55 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, консервированная со свининой",83 кКал,"13,23 г","2,74 г","1,6 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная",90 кКал,"13,83 г","2,95 г","0,35 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная, без соли",97 кКал,"15,32 г","3,17 г","0,38 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная, с солью",94 кКал,"14,73 г","3,17 г","0,38 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная",139 кКал,"20,13 г","8,98 г","0,7 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная, вареная, без соли",132 кКал,"17,36 г","8,49 г","0,66 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная, вареная, с солью",131 кКал,"17,1 г","8,49 г","0,66 г"
"Фасоль, запеченная, домашнего приготоления",155 кКал,"16,13 г","5,54 г","5,15 г"
"Фасоль, запеченная, консервированная, обычная или вегетарианская",94 кКал,"17,04 г","4,75 г","0,37 г"
"Фасоль, запеченная, консервированная, с говядиной",121 кКал,"16,91 г","6,38 г","3,45 г"
"Фасоль, запеченная, консервированная, с сосисками",142 кКал,"8,49 г","6,75 г","6,57 г"
"Фасоль, запеченная, консервированная, со свининой",106 кКал,"14,49 г","5,19 г","1,55 г"
"Фасоль, запеченная, консервированная, со свининой, с сладким соусом",105 кКал,"17,17 г","4,52 г","0,89 г"
"Фасоль, запеченная, консервированная, со свининой, с томатным соусом",94 кКал,"14,69 г","5,15 г","0,93 г"
"Фасоль, зерно",298 кКал,47 г,21 г,2 г
"Фасоль, чили, барбекю, приготовленная, в стиле ранчо",97 кКал,"12,7 г",5 г,1 г
"Фунчоза (лапша из крахмала бобов мунг), сухая",351 кКал,"85,59 г","0,16 г","0,06 г"
Хумус,237 кКал,"9,5 г","7,78 г","17,82 г"
"Хумус, домашнего приготовления",177 кКал,"16,12 г","4,86 г","8,59 г"
"Цыпленок, из заменителя мяса",224 кКал,"0,04 г","23,64 г","12,73 г"
"Цыпленок, из заменителя мяса, жареный, в панировке",234 кКал,"4,21 г","21,28 г","12,77 г"
Чечевица,352 кКал,"52,65 г","24,63 г","1,06 г"
"Чечевица проросшая, вареная, без соли",101 кКал,"21,25 г","8,8 г","0,45 г"
"Чечевица проросшая, жареная, с солью",101 кКал,"21,25 г","8,8 г","0,45 г"
"Чечевица проросшая, сырая",106 кКал,"22,14 г","8,96 г","0,55 г"
"Чечевица, зерно",295 кКал,"46,3 г",24 г,"1,5 г"
"Чечевица, зрелые семена, вареная, без соли",116 кКал,"12,23 г","9,02 г","0,38 г"
"Чечевица, зрелые семена, вареная, с солью",114 кКал,"11,64 г","9,02 г","0,38 г"
"Чечевица, розовая",358 кКал,"52,3 г","23,91 г","2,17 г"
"Чили с бобами, консервированные",103 кКал,"9,94 г","6,12 г","3,76 г"
Чина,286 кКал,"41,3 г","24,4 г","2,2 г"
"Эдамамэ, варёные соевые бобы в стручках, замороженные, неприготовленные",109 кКал,"2,81 г","11,22 г","4,73 г"
"Эдамамэ, варёные соевые бобы в стручках, замороженные, приготовленные",121 кКал,"3,71 г","11,91 г","5,2 г"
