Продукт,Калорийность,Углеводы,Белки,Жиры
"Горошек зелёный, замороженный, вареный, без соли",78 кКал,"9,76 г","5,15 г","0,27 г"
"Горошек зелёный, замороженный, вареный, с солью",78 кКал,"9,76 г","5,15 г","0,27 г"
"Горошек зелёный, консервированный",58 кКал,"7,3 г","3,01 г","0,48 г"
"Горошек зелёный, консервированный, без  соли",53 кКал,"6,45 г","3,19 г","0,3 г"
"Горошек зелёный, консервированный, без соли, содержимое без жидкости",69 кКал,"8,48 г","4,42 г","0,35 г"
"Горошек зелёный, консервированный, со специями",50 кКал,"7,25 г","3,09 г","0,27 г"
"Горошек зелёный, консервированный, содержимое без жидкости",68 кКал,"6,46 г","4,47 г","0,8 г"
"Горошек зелёный, консервированный, содержимое без жидкости, промытый водой",71 кКал,"11,82 г","4,33 г","0,95 г"
Горошек зеленый. Консервы,40 кКал,"6,5 г","3,1 г","0,2 г"
"Ёкан, желе из бобов адзуки (японский десерт)",260 кКал,"60,72 г","3,29 г","0,12 г"
Заменитель мяса,311 кКал,"17,21 г","41,71 г","2,97 г"
"Запеченные бобы, консервированные, без доб. соли",105 кКал,"14,99 г","4,8 г","0,4 г"
Камедь бобов рожкового дерева,222 кКал,"49,08 г","4,62 г","0,65 г"
"Колбаса, из заменителя мяса",255 кКал,"5,29 г","20,28 г","18,16 г"
"Кормовые бобы, в стучках",88 кКал,"10,13 г","7,92 г","0,73 г"
"Коровий горох (вигна китайская), catjang, зрелый",343 кКал,"48,94 г","23,85 г","2,07 г"
"Коровий горох (вигна китайская), catjang, зрелый, вареный, без соли",117 кКал,"16,72 г","8,13 г","0,71 г"
"Коровий горох (вигна китайская), catjang, зрелый, вареный, с солью",117 кКал,"16,72 г","8,13 г","0,71 г"
"Коровий горох (вигна китайская), листья",29 кКал,"4,82 г","4,1 г","0,25 г"
"Коровий горох (вигна китайская), листья, вареные, без соли",22 кКал,"2,8 г","4,67 г","0,1 г"
"Коровий горох (вигна китайская), листья, вареные, с солью",22 кКал,"2,8 г","4,67 г","0,1 г"
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, без соли",34 кКал,7 г,"2,6 г","0,3 г"
"Коровий горох (вигна китайская), молодые стручки с семенами, вареные, с солью",34 кКал,7 г,"2,6 г","0,3 г"
"Коровий горох (вигна китайская), молодые стручки с семенами, сырые",44 кКал,"6,2 г","3,3 г","0,3 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые",409 кКал,"15,81 г","29,65 г","16,32 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, вареная, без соли",147 кКал,"14,94 г","10,62 г","5,84 г"
"Крылатые бобы (спаржевый горох, квадратный горох), зрелые, вареные, с солью",147 кКал,"14,94 г","10,62 г","5,84 г"
"Крылатые бобы (спаржевый горох, квадратный горох), клубни, сырые",148 кКал,"28,1 г","11,6 г","0,9 г"
"Крылатые бобы (спаржевый горох, квадратный горох), листья, сырые",74 кКал,"14,1 г","5,85 г","1,1 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые",49 кКал,"4,31 г","6,95 г","0,87 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, без соли",38 кКал,"3,21 г","5,31 г","0,66 г"
"Крылатые бобы (спаржевый горох, квадратный горох), незрелые, вареные, с солью",37 кКал,"3,21 г","5,31 г","0,66 г"
"Кукуруза желтая, консервированная, промытая водой",64 кКал,"11,32 г","2,18 г","1,43 г"
"Лимская фасоль Фордхук, незрелая, замороженная",106 кКал,"14,33 г","6,4 г","0,35 г"
"Лимская фасоль Фордхук, незрелая, замороженная, вареная без соли",103 кКал,"14,02 г","6,07 г","0,34 г"
"Лимская фасоль Фордхук, незрелая, замороженная, вареная с солью",103 кКал,"14,02 г","6,07 г","0,34 г"
"Лимская фасоль, крупная, зрелая",338 кКал,"44,38 г","21,46 г","0,69 г"
