Продукт,Калорийность,Углеводы,Белки,Жиры
"Конфеты, батончик  5TH AVENUE (произв: Корпорация Hershey)",482 кКал,"59,58 г","8,78 г","23,98 г"
"Конфеты, батончик ALMOND JOY (произв: Hershey)",479 кКал,"54,51 г","4,13 г","26,93 г"
"Конфеты, батончик BUTTERFINGER (произв: Нестле), NESTLE",459 кКал,"70,9 г","5,4 г","18,9 г"
"Конфеты, батончик Сникерс, SNICKERS (произв: MASTERFOODS USA)",491 кКал,"59,21 г","7,53 г","23,85 г"
"Конфеты, баточник 3 MUSKETEERS (произв: Мастерфудз США)",436 кКал,"76,27 г","2,6 г","12,75 г"
"Конфеты, в шоколадной глазури, диетические или низкокалорийные",590 кКал,"34,18 г","12,39 г","43,27 г"
"Конфеты, ирис",391 кКал,"90,4 г","0,03 г","3,3 г"
"Конфеты, карамель",382 кКал,77 г,"4,6 г","8,1 г"
"Конфеты, карамель с орехами в шоколадной глазури",470 кКал,"56,37 г","9,5 г",21 г
"Конфеты, Твикс, печенье с карамелью и шоколадом (произв: MASTERFOODS USA)",502 кКал,"63,7 г","4,91 г","24,85 г"
Крекеры с цельнозерновой пшеничной мукой,463 кКал,"63,47 г","7,29 г","17,84 г"
"Крекеры, из муки высшего сорта",439 кКал,"66,1 г","9,2 г","14,1 г"
Ксилит пищевой,367 кКал,"97,9 г",0 г,0 г
"Кукурузный сироп, светлый",283 кКал,"76,79 г",0 г,"0,2 г"
"Кукурузный сироп, темный",286 кКал,"77,59 г",0 г,0 г
Лукум сбивной,316 кКал,"79,4 г","0,8 г","0,7 г"
Мармелад,321 кКал,"79,4 г","0,1 г",0 г
Мармелад желейный,321 кКал,"79,4 г","0,1 г",0 г
"Мармелад, фруктово-ягодный глазированный шоколадом",349 кКал,"64,2 г","1,5 г","9,2 г"
Мед пчелиный,328 кКал,"80,3 г","0,8 г",0 г
"Меласса, черная патока",290 кКал,"74,73 г",0 г,"0,1 г"
"Мороженне, ванильное",207 кКал,"22,9 г","3,5 г",11 г
"Мороженое, ванильное, жирное, 16.2% жира",249 кКал,"22,29 г","3,5 г","16,2 г"
