Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина, солонина, Пастрома",147 кКал,"0,36 г","21,8 г","5,82 г"
"Говядина, солонина, сушеная",153 кКал,"2,76 г","31,1 г","1,94 г"
"Говядина, сосиски, заранее приготовленные",405 кКал,"0,03 г","15,5 г","37,57 г"
"Говядина, сосиски, свежие, приготовленные",332 кКал,"0,35 г","18,21 г","27,98 г"
Грудинка копчено-запеченная (свинина),514 кКал,0 г,10 г,"52,7 г"
Грудинка сырокопченая (свинина),605 кКал,0 г,"8,9 г","63,3 г"
"гусь, Паштет, из печени, копченый, консерв.",462 кКал,"4,67 г","11,4 г","43,84 г"
"Зельц, из свинины",157 кКал,0 г,"13,83 г","10,9 г"
Колбаса вареная говяжья,165 кКал,"0,2 г",15 г,"11,7 г"
Колбаса вареная для завтрака,187 кКал,"2,4 г",13 г,"13,9 г"
Колбаса вареная русская,302 кКал,"1,7 г","11,5 г","27,9 г"
"Колбаса вареная, диабетическая",254 кКал,0 г,"12,1 г","22,8 г"
"Колбаса вареная, диетическая",170 кКал,0 г,"12,1 г","13,5 г"
"Колбаса вареная, докторская",257 кКал,"1,5 г","12,8 г","22,2 г"
"Колбаса вареная, зеленоградская (с мясом утки)",187 кКал,"2,2 г","17,2 г","12,1 г"
"Колбаса вареная, любительская",301 кКал,"0,1 г","12,2 г",28 г
"Колбаса вареная, любительская свиная",312 кКал,0 г,"12,5 г","29,1 г"
"Колбаса вареная, молочная",252 кКал,"0,2 г","11,7 г","22,8 г"
"Колбаса вареная, отдельная",240 кКал,"1,7 г",11 г,21 г
"Колбаса вареная, подмосковная (с куриным мясом)",180 кКал,"1,7 г","17,2 г","11,6 г"
"Колбаса вареная, свиная",277 кКал,"0,5 г","10,8 г","25,8 г"
"Колбаса вареная, столовая",234 кКал,"1,8 г","11,1 г","20,2 г"
"Колбаса вареная, телячья",308 кКал,"0,3 г","13,2 г","28,3 г"
"Колбаса вареная, чайная",216 кКал,"1,7 г","11,7 г","18,4 г"
Колбаса варено-копченая московская,406 кКал,"0,2 г","19,1 г","36,6 г"
"Колбаса варено-копченая, любительская",420 кКал,"0,2 г","17,2 г",39 г
Колбаса полукопченая одесская,402 кКал,"0,3 г","14,8 г","38,1 г"
"Колбаса полукопченая, армавирская",423 кКал,"0,3 г","15,1 г","40,1 г"
"Колбаса полукопченая, краковская",466 кКал,0 г,"16,2 г","44,6 г"
"Колбаса полукопченая, минская",287 кКал,"2,7 г","17,4 г",23 г
"Колбаса полукопченая, полтавская",417 кКал,0 г,"16,4 г",39 г
"Колбаса полукопченая, таллинская",373 кКал,"0,2 г","17,1 г","33,8 г"
"Колбаса полукопченая, украинская",376 кКал,0 г,"16,5 г","34,4 г"
Колбаса сырокопченая дорожная,498 кКал,"0,4 г",17 г,"47,7 г"
Колбаса сырокопченая зернистая,606 кКал,"0,3 г","9,9 г","62,8 г"
