Продукт,Калорийность,Углеводы,Белки,Жиры
"Лапша японская, сомен, приготовленная",131 кКал,"27,54 г",4 г,"0,18 г"
"Лапша японская, сомен, сухая",356 кКал,"69,8 г","11,35 г","0,81 г"
"Лапшевник с творогом, по 1-308",180 кКал,"20,3 г","7,7 г","7,4 г"
"Макароны запеченные с яйцом, по 1 -306",152 кКал,"14,8 г","4,6 г","8,3 г"
Макароны из муки 1 сорта,333 кКал,"68,4 г","11,2 г","1,6 г"
Макароны из муки высшего сорта,338 кКал,"70,5 г",11 г,"1,3 г"
"Макароны из муки высшего сорта, витаминизированные",337 кКал,"69,7 г","10,4 г","1,1 г"
"Макароны из муки высшего сорта, молочные",345 кКал,67 г,"11,5 г","2,9 г"
"Макароны из муки высшего сорта, яичные",342 кКал,"69,6 г","11,3 г","2,1 г"
"Макароны отварные с жиром, по 1-304",135 кКал,19 г,"3,4 г",5 г
"Макароны отварные, по 1-302",98 кКал,20 г,"3,6 г","0,4 г"
"Макароны с овощами, обогащенные, приготовленные",128 кКал,"22,31 г","4,53 г","0,11 г"
"Макароны с овощами, обогащенные, сухие",367 кКал,"70,58 г","13,14 г","1,04 г"
"Манная каша вязкая, по 1-276",100 кКал,"16,4 г","2,2 г","2,9 г"
Манная крупа,333 кКал,"70,6 г","10,3 г",1 г
"Манная крупа, необогащенная",360 кКал,"68,93 г","12,68 г","1,05 г"
"Манная крупа, обогащенная",360 кКал,"68,93 г","12,68 г","1,05 г"
Мука из зародышей пшеницы,335 кКал,"32,7 г","33,8 г","7,7 г"
Мука из сорго,357 кКал,"74,95 г","9,53 г","1,24 г"
"Мука из сорго, цельнозерновая",359 кКал,"70,04 г","8,43 г","3,34 г"
Мука из тритикале,338 кКал,"58,54 г","13,18 г","1,81 г"
"Овес, зерно",316 кКал,"55,1 г",10 г,"6,2 г"
"Овес, зерно сухое",389 кКал,"55,67 г","16,89 г","6,9 г"
"Овсяная каша быстрого приготовления (растворимая) с изюмом и специями, приготовленная на воде",88 кКал,"16,61 г","1,98 г","0,95 г"
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, приготовленная на воде",96 кКал,"16,95 г","2,37 г","1,21 г"
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, сухая",369 кКал,"68,08 г","9,53 г","4,84 г"
"Овсяная каша быстрого приготовления (растворимая), приготовленная на воде",68 кКал,"9,97 г","2,37 г","1,36 г"
"Овсяная каша быстрого приготовления (растворимая), с кленовым и коричневым сахаром, сухая",386 кКал,"69,47 г","9,25 г","4,73 г"
"Овсяная каша быстрого приготовления (растворимая), сухая",362 кКал,"59,52 г","11,92 г","6,9 г"
"Овсяная каша жидкая, приготовленная на воде, без соли",71 кКал,"10,3 г","2,54 г","1,52 г"
"Овсяная каша жидкая, приготовленная на воде, с солью",71 кКал,"10,3 г","2,54 г","1,52 г"
"Овсяная каша из хлопьев «Геркулес», по 1-280",105 кКал,"14,8 г","2,4 г",4 г
"Овсяная каша, по 1-280",109 кКал,"15,5 г","2,6 г","4,1 г"
Овсяная крупа,379 кКал,"57,6 г","13,15 г","6,52 г"
Овсяная крупа,342 кКал,"59,5 г","12,3 г","6,1 г"
Овсяная мука,369 кКал,"64,9 г",13 г,"6,8 г"
Овсяная мука с отрубями,404 кКал,"59,2 г","14,66 г","9,12 г"
