Продукт,Калорийность,Углеводы,Белки,Жиры
Профитроли,253 кКал,"18,7 г","9,6 г",16 г
Пюре из кабачков,"129,8 кКал","3,8 г","1,1 г","12,4 г"
Пюре из картофеля и капусты,"60,4 кКал",7 г,"2,2 г","2,8 г"
Пюре из картофеля и тыквы,"75,4 кКал","6,6 г","1,8 г","4,8 г"
Пюре из картофеля и шпината,"70,6 кКал","5,2 г","1,9 г","4,8 г"
Пюре из моркови,"105,7 кКал","6,3 г","1,7 г","8,4 г"
Пюре из репчатого лука,"44,4 кКал","8,2 г","1,8 г","0,7 г"
Пюре картофельное,112 кКал,"12,9 г","2,7 г","5,9 г"
Свекла пикантная,"58,3 кКал","10,3 г","1,3 г","1,6 г"
Суфле из брюквы,"147,2 кКал","9,5 г","1,7 г","11,6 г"
