Продукт,Калорийность,Углеводы,Белки,Жиры
Лимонный творог,"238,7 кКал","19,7 г","9,8 г","13,9 г"
"Малина или земляника с молоком, сметаной или сливками","78,9 кКал","14,6 г","1,8 г","1,9 г"
Мармелад из абрикосов,"198,9 кКал","52,4 г","0,5 г","0,05 г"
Мармелад из абрикосов в кожице,"183,6 кКал","48,3 г","0,5 г","0,06 г"
Мармелад из брусники и яблок,"112,7 кКал","28,7 г","0,5 г","0,3 г"
Мармелад из черники,"57,6 кКал",13 г,1 г,"0,6 г"
Медовая горка,"270,4 кКал","62,5 г","5,8 г","1,5 г"
"Мороженое ""Сюрприз""","194,3 кКал","32,7 г","3,6 г","6,3 г"
Мороженое с плодами или ягодами консервированными,"222,9 кКал","17,5 г","4,5 г","15,5 г"
Мусс из растворимого кофе,"104,3 кКал","19,9 г","4,1 г","1,5 г"
Мусс из ревеня,"87,6 кКал","22,2 г","0,9 г","0,07 г"
Мусс из ржаной муки,"94,9 кКал","24,1 г","0,9 г","0,1 г"
Мусс из смородины,"113,3 кКал","27,8 г","2,1 г","0,06 г"
Мусс из тыквы,"91,7 кКал","22,1 г","2,1 г","0,07 г"
Мусс клюквенный,"81,9 кКал","19,3 г","2,3 г","0,06 г"
Мусс лимонный,"115,1 кКал","28,1 г","2,4 г","0,03 г"
Мусс яблочный (на крупе манной),"81,1 кКал","20,3 г","0,9 г","0,2 г"
Оладьи,"201,1 кКал","24,5 г","7,4 г","8,9 г"
Оладьи,"322,2 кКал","42,7 г",10 г,"13,6 г"
Оладьи из моркови,"141,2 кКал",11 г,3 г,"9,8 г"
Оладьи из тыквы,"180,2 кКал","12,2 г","4,4 г",13 г
Оладьи с изюмом,"334,9 кКал","44,4 г","8,4 г",15 г
Оладьи с яблоками,"113,8 кКал","19,5 г","4,3 г","2,6 г"
Оладьи с яблоками,"306,2 кКал","39,8 г","9,2 г","13,3 г"
Омлет с  яблоками,"121,4 кКал","16,8 г","3,5 г","4,9 г"
Омлет с яблоками,"177,7 кКал","4,4 г","8,6 г","14,1 г"
Омлет с яблоками,86 кКал,"6,9 г","3,5 г","5,1 г"
Ореховый крем,"105,9 кКал","12,2 г","5,4 г","4,3 г"
Орешки творожные по-русски,"271,2 кКал","22,1 г","8,9 г",17 г
Пастила из ежевики,174 кКал,"44,8 г","0,8 г","0,3 г"
Пастила из калины,"197,5 кКал","52,7 г",0 г,0 г
"Пирожное ""Кокетка""","418,1 кКал",21 г,"18,7 г","29,4 г"
Плавающие острова,"94,9 кКал","13,8 г","3,8 г","3,1 г"
Пудинг из ревеня,187 кКал,"29,9 г","4,5 г","6,3 г"
Пудинг из риса и ревеня,155 кКал,"18,6 г","3,6 г","7,9 г"
Пудинг из сыра,"184,2 кКал","7,9 г",9 г,"13,2 г"
"Пудинг из творога, запеченный","312,5 кКал","24,3 г",11 г,"19,7 г"
Пудинг на сметане,"254,3 кКал","24,9 г","5,8 г","15,3 г"
Пудинг ореховый,"229,4 кКал","35,1 г","7,1 г","7,7 г"
"Пудинг рисовый, манный, пшенный","189,6 кКал","34,7 г","3,4 г","5,1 г"
Пудинг с грушами,"131,2 кКал","22,7 г","3,6 г","3,5 г"
Пудинг сливочный с орехами,"307,1 кКал","25,6 г","7,6 г",20 г
Пудинг сухарный,"213,3 кКал","37,8 г","6,4 г","5,1 г"
Ревень с сахаром,"99,6 кКал","25,8 г","0,5 г","0,08 г"
Ревень с сухарями и сливками,"100,4 кКал","9,8 г","1,4 г","6,5 г"
Самбук абрикосовый,"115,1 кКал","28,4 г",2 г,"0,07 г"
Самбук из абрикосов,"86,5 кКал","21,1 г","1,7 г","0,06 г"
Самбук яблочный или сливовый,"90,3 кКал","21,6 г","1,8 г","0,2 г"
Сгущенка по-русски,"120,4 кКал","23,7 г","2,3 г","2,5 г"
Сельдерей на десерт,0 кКал,0 г,0 г,0 г
Сладкий молочный соус,"84,1 кКал","12,1 г","3,4 г","2,8 г"
Сладкое блюдо из риса и творога,"236,4 кКал","37,6 г","11,1 г","5,7 г"
Сливки или сметана взбитые,"231,3 кКал","17,5 г","2,4 г","17,3 г"
Сливовый соус,"42,4 кКал","11,1 г","0,09 г","0,03 г"
Смородина с медом и миндалем,"191,4 кКал",31 г,"2,6 г","7,2 г"
"Смородиновый ""снег""","111,5 кКал","28,1 г","1,3 г","0,1 г"
Снежки,"138,2 кКал","23,7 г",4 г,"3,7 г"
Соус абрикосовый,"250,9 кКал","66,2 г","0,5 г","0,06 г"
"Соус земляничный или малиновый, или вишневый","244,5 кКал","64,1 г","0,5 г","0,2 г"
Соус из брусники и сыра,"208,5 кКал","6,8 г","9,1 г","16,3 г"
Соус из изюма и миндаля,"144,2 кКал","17,4 г","4,4 г","6,8 г"
Соус из какао,"95,9 кКал",13 г,"3,9 г","3,5 г"
Соус из крыжовника,35 кКал,"8,5 г","0,4 г","0,2 г"
Соус из яблок и брусники,"174,9 кКал","45,7 г","0,3 г","0,3 г"
Соус клюквенный,"67,3 кКал","17,8 г","0,08 г","0,03 г"
Соус сметанный,382 кКал,"13,7 г","3,3 г","35,3 г"
Соус яблочный,"61,1 кКал",16 г,"0,1 г","0,09 г"
Суфле,"203,2 кКал","19,1 г","5,4 г","12,2 г"
"Суфле ванильное, шоколадное, ореховое","212,1 кКал","18,2 г","5,6 г","13,5 г"
Сырники с морковью,248 кКал,"22,1 г","9,6 г","14,1 г"
Творог апельсиновый,"196,8 кКал","17,8 г","6,1 г","11,7 г"
Творожный соус,"118,8 кКал","4,2 г","8,4 г","7,7 г"
"Торт ""Вишня в сотах""","234,2 кКал","22,7 г","3,5 г",15 г
"Торт ""Катерина""","381,2 кКал","41,6 г","4,7 г","22,9 г"
"Торт ""Медовый""","322,7 кКал","42,4 г","3,7 г","16,6 г"
"Торт ""Мужской идеал""","307,8 кКал","54,1 г","6,7 г","8,7 г"
"Торт ""Негр""","268,7 кКал","29,9 г","4,4 г","15,4 г"
"Торт ""Почти ""Прага""","350,9 кКал","39,9 г","4,2 г","20,5 г"
"Торт ""Прага""","283,5 кКал",39 г,"5,9 г","12,6 г"
"Торт ""Снежная горка""","150,1 кКал","11,6 г",1 г,"11,4 г"
"Торт ""Шоколадная мазурка""","301,4 кКал",54 г,"7,6 г","7,6 г"
Торт бисквитный с орехами,"355,3 кКал","46,5 г","11,4 г",15 г
Торт Зебра»,"270,8 кКал",32 г,"8,5 г","12,9 г"
Торт из картофеля с творогом,169 кКал,"25,9 г","9,1 г","3,9 г"
Торт из тыквы,"212,5 кКал",19 г,"2,6 г","14,5 г"
Торт картофельный,"190,5 кКал","31,2 г","5,6 г","5,7 г"
Торт печёночный,200 кКал,10 г,"8,1 г","14,5 г"
Торт Прага»,"326,4 кКал","38,7 г","6,5 г","17,3 г"
Торт Черный принц»,"14,8 кКал","1,2 г","0,2 г","1,1 г"
Тыква с орехами,"111,4 кКал","25,8 г","3,6 г","0,07 г"
Тыква с ревенем,"51,7 кКал","12,8 г","0,8 г","0,09 г"
Тыква с фруктами,"81,1 кКал","14,1 г","1,7 г","2,4 г"
"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)","106,8 кКал","17,9 г","1,5 г","3,7 г"
Тыквенный крем,"144,8 кКал","7,4 г",4 г,"11,2 г"
Фаршированные яблоки,"58,1 кКал","7,5 г","3,3 г","1,9 г"
Фруктовый маседуан,"205,3 кКал",54 г,"0,4 г","0,1 г"
Холодное из абрикосов,127 кКал,6 г,"1,8 г","10,8 г"
Чернослив со сливками или сметаной взбитыми,"271,8 кКал","39,6 г","2,5 г","12,6 г"
Шоколадное мороженое,"268,7 кКал","29,1 г","4,4 г","15,8 г"
Шоколадный крем,"272,4 кКал","38,1 г","3,8 г","12,7 г"
Шоколадный пудинг,"192,4 кКал","24,2 г","4,5 г","9,3 г"
Шоколадный соус,"139,9 кКал",16 г,"2,8 г","7,7 г"
Шульо мелна (блины овсяные - марийское национальное блюдо),"195,4 кКал",21 г,"5,5 г","10,5 г"
Яблоки в грильяже,"146,1 кКал","31,9 г","0,3 г","2,8 г"
Яблоки в желе,"111,1 кКал","18,3 г",3 г,"3,4 г"
Яблоки печеные,"65,8 кКал","13,6 г","0,6 г","1,4 г"
Яблоки печеные,"169,1 кКал","43,6 г","0,5 г","0,4 г"
Яблоки печеные с брусникой,"105,8 кКал","27,2 г","0,3 г","0,3 г"
Яблоки со взбитыми сливками,"113,9 кКал","16,4 г","1,9 г",5 г
"Яблоки, фаршированные морковью","78,4 кКал","13,4 г","0,8 г","2,8 г"
Яблочно-сливочный соус,"97,1 кКал","10,1 г","1,2 г","6,1 г"
Яблочный крем,"112,8 кКал","18,2 г","0,6 г","4,7 г"
Ягодный мусс,167 кКал,"41,2 г","1,2 г","0,8 г"
Яичный мусс,"142,3 кКал","23,4 г","5,9 г","3,5 г"
