Продукт,Калорийность,Углеводы,Белки,Жиры
"Ананас, консервированный в водной заливке",32 кКал,"7,5 г","0,43 г","0,09 г"
"Ананас, консервированный в легком сахарном сиропе",52 кКал,"12,65 г","0,36 г","0,12 г"
"Ананас, консервированный в насыщенном сахарном сиропе",78 кКал,"19,4 г","0,35 г","0,11 г"
"Ананас, консервированный в собственном соку",60 кКал,"14,26 г","0,51 г","0,11 г"
"Ананас, консервированный в экстра-насыщенном сахарном сиропе",83 кКал,"20,7 г","0,34 г","0,11 г"
"Ананас, несладкие сорта",45 кКал,"11,82 г","0,55 г","0,13 г"
"Ананас, сладкие сорта",51 кКал,"12,1 г","0,53 г","0,11 г"
"Аннона сетчатая (кремовое яблоко, ""бычье сердце"")",101 кКал,"22,8 г","1,7 г","0,6 г"
Апельсин,43 кКал,"8,1 г","0,9 г","0,2 г"
"Апельсин валенсийский, Калифорния",49 кКал,"9,39 г","1,04 г","0,3 г"
Апельсин пупочный (сорт навел),49 кКал,"10,34 г","0,91 г","0,15 г"
Апельсин с цедрой,63 кКал,11 г,"1,3 г","0,3 г"
Апельсин Флорида,46 кКал,"9,14 г","0,7 г","0,21 г"
"Апельсин, все сорта",47 кКал,"9,35 г","0,94 г","0,12 г"
"Апельсиновая цедра, сырая",97 кКал,"14,4 г","1,5 г","0,2 г"
Апельсиновый джем,268 кКал,"66,3 г","0,4 г","0,1 г"
Арбуз,27 кКал,"5,8 г","0,7 г","0,1 г"
"Арбуз, сырой",30 кКал,"7,15 г","0,61 г","0,15 г"
Ацерола (барбадосская вишня),32 кКал,"6,59 г","0,4 г","0,3 г"
Банан,96 кКал,21 г,"1,5 г","0,5 г"
Бананы,89 кКал,"20,24 г","1,09 г","0,33 г"
Бананы высушенные (дегидрированные) или банановый порошок,346 кКал,"78,38 г","3,89 г","1,81 г"
Барбарис,84 кКал,"3,5 г","4,5 г","4,7 г"
"Бойзенова ягода, замороженная, неподслащенная",50 кКал,"6,89 г","1,1 г","0,26 г"
"Бойзенова ягода, консервированная в насыщенном сахарном сиропе",88 кКал,"19,71 г","0,99 г","0,12 г"
Боярышник кроваво-красный,62 кКал,"14,2 г","1,12 г",0 г
Брусника,46 кКал,"8,2 г","0,7 г","0,5 г"
Бузина,73 кКал,"11,4 г","0,66 г","0,5 г"
"Бузина, сырая",73 кКал,"11,4 г","0,66 г","0,5 г"
Вакциниум сетчатый (охело ),28 кКал,"6,84 г","0,38 г","0,22 г"
Варенье из айвы,273 кКал,"70,6 г","0,4 г","0,2 г"
Варенье из груши,273 кКал,"70,8 г","0,3 г","0,2 г"
Варенье из кизила,274 кКал,"72,3 г","0,4 г",0 г
Варенье из клубники,285 кКал,74 г,"0,3 г","0,1 г"
Варенье из малины,273 кКал,"70,4 г","0,6 г","0,2 г"
Варенье из мандаринов,294 кКал,"75,9 г","0,7 г","0,2 г"
Варенье из персиков,258 кКал,"66,8 г","0,5 г",0 г
Варенье из рябины черноплодной,387 кКал,"74,8 г","0,4 г",0 г
Варенье из сливы,288 кКал,"74,2 г","0,4 г","0,3 г"
Варенье из яблок,265 кКал,"68,2 г","0,4 г","0,3 г"
Виноград,72 кКал,"15,4 г","0,6 г","0,6 г"
Виноград американский (с грубой кожурой),67 кКал,"16,25 г","0,63 г","0,35 г"
"Виноград киш-миш, консервированный в водной заливке",40 кКал,"9,7 г","0,5 г","0,11 г"
"Виноград киш-миш, консервированный в насыщенном сахарном сиропе",76 кКал,"19,05 г","0,48 г","0,1 г"
"Виноград, красный или белый, европейский (например, киш-миш)",69 кКал,"17,2 г","0,72 г","0,16 г"
"Виноград, мускатный",57 кКал,"10,03 г","0,81 г","0,47 г"
Вишневый компот. Консервы,101 кКал,"23,7 г","0,6 г","0,3 г"
Вишня,52 кКал,"10,6 г","0,8 г","0,2 г"
Вишня,50 кКал,"10,58 г",1 г,"0,3 г"
Вишня войлочная,39 кКал,9 г,0 г,0 г
"Вишня замороженная, неподслащенная",46 кКал,"9,42 г","0,92 г","0,44 г"
"Вишня коктейльная, консервированная",165 кКал,"38,77 г","0,22 г","0,21 г"
"Вишня Монморанси, сушеная, подслащенная",333 кКал,"77,95 г","1,25 г","0,73 г"
"Вишня, консервированная в водной заливке",36 кКал,"7,84 г","0,77 г","0,1 г"
"Вишня, консервированная в водной заливке, содержимое без жидкости",42 кКал,"9,25 г","0,69 г","0,21 г"
"Вишня, консервированная в легком сахарном сиропе",75 кКал,"18,5 г","0,74 г","0,1 г"
"Вишня, консервированная в насыщенном сахарном сиропе",91 кКал,"22,17 г","0,73 г","0,1 г"
"Вишня, консервированная в экстра-насыщенном сахарном сиропе",114 кКал,"28,43 г","0,71 г","0,09 г"
Голубика,39 кКал,"6,6 г",1 г,"0,5 г"
Гранат,72 кКал,"14,5 г","0,7 г","0,6 г"
Гранат,83 кКал,"14,7 г","1,67 г","1,17 г"
Грейпфрут,35 кКал,"6,5 г","0,7 г","0,2 г"
Грейпфрут белый,33 кКал,"7,31 г","0,69 г","0,1 г"
"Грейпфрут белый, Калифорнийский",37 кКал,"9,09 г","0,88 г","0,1 г"
"Грейпфрут белый, Флоридский",32 кКал,"8,19 г","0,63 г","0,1 г"
Грейпфрут розовый и красный,42 кКал,"9,06 г","0,77 г","0,14 г"
"Грейпфрут розовый и красный, Калифорнийский и Аризонский",37 кКал,"9,69 г","0,5 г","0,1 г"
"Грейпфрут розовый и красный, Флоридский",30 кКал,"6,4 г","0,55 г","0,1 г"
"Грейпфрут, все виды",32 кКал,"6,98 г","0,63 г","0,1 г"
"Грейпфрут, консервированный в водной заливке",36 кКал,"8,75 г","0,58 г","0,1 г"
"Грейпфрут, консервированный в легком сахарном сиропе",60 кКал,"15,04 г","0,56 г","0,1 г"
"Грейпфрут, консервированный в собственном соку",37 кКал,"8,81 г","0,7 г","0,09 г"
Груша,57 кКал,"12,13 г","0,36 г","0,14 г"
Груша,47 кКал,"10,3 г","0,4 г","0,3 г"
Груша азиатская (китайская),42 кКал,"7,05 г","0,5 г","0,23 г"
Груша Анжу зеленая,66 кКал,"12,69 г","0,44 г","0,1 г"
Груша Анжу красная,62 кКал,"11,94 г","0,33 г","0,14 г"
"Груша Бартлетт (вильямс, дюшес)",63 кКал,"11,91 г","0,39 г","0,16 г"
Груша Бере Боск,67 кКал,13 г,"0,36 г","0,09 г"
Груша сушеная,270 кКал,"62,6 г","2,3 г","0,6 г"
Грушевый компот. Консервы,74 кКал,"18,1 г","0,2 г","0,2 г"
Груши сушеные,262 кКал,"62,2 г","1,87 г","0,63 г"
"Груши сушеные, тушеные без сахара",127 кКал,"27,41 г","0,91 г","0,31 г"
"Груши сушеные, тушеные с сахаром",140 кКал,"31,34 г","0,86 г","0,29 г"
"Груши, консервированные в водной заливке",29 кКал,"6,21 г","0,19 г","0,03 г"
"Груши, консервированные в легком сахарном сиропе",57 кКал,"13,57 г","0,19 г","0,03 г"
"Груши, консервированные в насыщенном сахарном сиропе",74 кКал,"17,57 г","0,2 г","0,13 г"
"Груши, консервированные в насыщенном сахарном сиропе, сухой продукт",74 кКал,"16,38 г","0,24 г","0,18 г"
"Груши, консервированные в собственном соку",50 кКал,"11,34 г","0,34 г","0,07 г"
"Груши, консервированные в экстра-легком сахарном сиропе",47 кКал,"10,6 г","0,3 г","0,1 г"
"Груши, консервированные в экстра-насыщенном сахарном сиропе",97 кКал,"23,65 г","0,19 г","0,13 г"
Гуава,68 кКал,"8,92 г","2,55 г","0,95 г"
Гуава земляничная,69 кКал,"11,96 г","0,58 г","0,6 г"
"Гуава, соус, приготовленный",36 кКал,"5,88 г","0,32 г","0,14 г"
"Джамболан (ямболан), сырой",60 кКал,"15,56 г","0,72 г","0,23 г"
"Джекфрут, консервированный в сахарном сиропе",92 кКал,"23,04 г","0,36 г","0,14 г"
"Джекфрут, сырой",95 кКал,"21,75 г","1,72 г","0,64 г"
Дуриан,147 кКал,"23,29 г","1,47 г","5,33 г"
Дыня,35 кКал,"7,4 г","0,6 г","0,3 г"
Дыня белая мускатная,36 кКал,"8,29 г","0,54 г","0,14 г"
"Дыня замороженная, шарики",33 кКал,"7,24 г","0,84 г","0,25 г"
"Дыня зимняя, кассаба",28 кКал,"5,68 г","1,11 г","0,1 г"
"Дыня мускусная, канталупа",34 кКал,"7,26 г","0,84 г","0,19 г"
"Дыня рогатая, (кивано), огурец африканский",44 кКал,"7,56 г","1,78 г","1,26 г"
Ежевика,34 кКал,"4,4 г","1,5 г","0,5 г"
Ежевика,43 кКал,"4,31 г","1,39 г","0,49 г"
Ежевика дикая (Аляска),52 кКал,"6,64 г","0,84 г","1,07 г"
"Ежевика, замороженная, неподслащенная",64 кКал,"10,67 г","1,18 г","0,43 г"
"Ежевика, консервированная в насыщенном сахарном сиропе",92 кКал,"19,7 г","1,31 г","0,14 г"
Жимолость,"41,2 кКал","8,5 г",0 г,0 г
Изюм без косточек (из винограда кишмиш),281 кКал,"71,2 г","2,3 г","0,5 г"
Изюм с косточками,296 кКал,"71,67 г","2,52 г","0,54 г"
Изюм с косточками (виноград сушеный),276 кКал,"70,9 г","1,8 г","0,54 г"
"Изюм чёрный без косточек (""коринка"", из винограда Черный Коринф)",290 кКал,"72,58 г","3,43 г","0,22 г"
"Изюм, без косточек",299 кКал,"74,82 г","3,3 г","0,25 г"
"Изюм, золотистый, без косточек",301 кКал,"76,72 г","3,28 г","0,2 г"
Инжир,54 кКал,12 г,"0,7 г","0,2 г"
Инжир,74 кКал,"16,28 г","0,75 г","0,3 г"
Инжир сушеный,257 кКал,"57,9 г","3,1 г","0,8 г"
Инжир сушеный,249 кКал,"54,07 г","3,3 г","0,93 г"
"Инжир сушеный, подслащенный",107 кКал,"23,37 г","1,42 г","0,4 г"
"Инжир, консервированный в водной заливке",53 кКал,"11,79 г","0,4 г","0,1 г"
"Инжир, консервированный в легком сахарном сиропе",69 кКал,"16,15 г","0,39 г","0,1 г"
"Инжир, консервированный в насыщенном сахарном сиропе",88 кКал,"20,7 г","0,38 г","0,1 г"
"Инжир, консервированный в экстра-насыщенном сахарном сиропе",107 кКал,"27,86 г","0,38 г","0,1 г"
Ирга,47 кКал,"11,4 г",0 г,0 г
Калина,"26,3 кКал","6,5 г","0,37 г","1,5 г"
"Карамбола, сырая",31 кКал,"3,93 г","1,04 г","0,33 г"
"Карисса, сырая",62 кКал,"13,63 г","0,5 г","1,3 г"
Келуак (кепаянг),111 кКал,"17,7 г","2,3 г",2 г
Киви,47 кКал,"8,1 г","0,8 г","0,4 г"
"Киви Zespri Санголд, новозеландское",63 кКал,"14,39 г","1,02 г","0,28 г"
Киви свежее,61 кКал,"11,66 г","1,14 г","0,52 г"
"Киви, джем",243 кКал,"58,9 г","0,4 г","0,2 г"
"Киви, пюре",47 кКал,"8,2 г","0,8 г","0,4 г"
Кизил,45 кКал,9 г,1 г,"0,011 г"
Клементины,47 кКал,"10,32 г","0,85 г","0,15 г"
Клубника,41 кКал,"7,5 г","0,8 г","0,4 г"
Клубника замороженная,35 кКал,"7,03 г","0,43 г","0,11 г"
"Клубника ломтиками, замороженная, подслащенная",96 кКал,"24,02 г","0,53 г","0,13 г"
"Клубника, сырая",32 кКал,"5,68 г","0,67 г","0,3 г"
"Клубничный компот, клубника консервированная в сахарном сиропе",92 кКал,"21,83 г","0,56 г","0,26 г"
Клюква,28 кКал,"3,7 г","0,5 г","0,2 г"
Клюква,46 кКал,"8,37 г","0,46 г","0,13 г"
"Клюква сушеная, подслащенная",308 кКал,"77,5 г","0,17 г","1,09 г"
"Клюквенно-апельсиновый соус, консервированный",178 кКал,"46,2 г","0,3 г","0,1 г"
