Продукт,Калорийность,Углеводы,Белки,Жиры
"KFC КОКА-КОЛА/ПЕПСИ-КОЛА Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC]",210 кКал,55 г,0 г,0 г
"KFC КОФЕ ГЛЯСЕ 0,2 ЗЕРНОВОЙ (порция 260 гр) [Ростик'c - KFC]","83,2 кКал","13,3 г","2,3 г","2,3 г"
"KFC КОФЕ КАПУЧИНО 0,2 ЗЕРНОВОЙ (порция 150 гр) [Ростик'c - KFC]","61,5 кКал","4,7 г","2,9 г","3,5 г"
"KFC КОФЕ КАПУЧИНО 0,3 ЗЕРНОВОЙ (порция 190 гр) [Ростик'c - KFC]","74,1 кКал","5,7 г","3,4 г","4,2 г"
"KFC КОФЕ ЛАТТЕ 0,3 ЗЕРНОВОЙ (порция 250 гр) [Ростик'c - KFC]","122,5 кКал","9,5 г","5,5 г",7 г
KFC КУКУРУЗА (порция 94 гр) [Ростик'c - KFC],"104,3 кКал","14,9 г","1,8 г","4,2 г"
KFC ЛАТТЕ (порция 300 гр) [Ростик'c - KFC],129 кКал,"13,2 г",9 г,"4,5 г"
KFC МОРОЖЕНОЕ (порция 120 гр) [Ростик'c - KFC],168 кКал,"26,5 г","4,7 г","4,8 г"
KFC МОРОЖЕНОЕ В РОЖКЕ (порция 85 гр) [Ростик'c - KFC],"130,9 кКал","21,5 г","3,7 г","3,3 г"
KFC САЛАТ ВЕДЖИ (порция 200 гр) [Ростик'c - KFC],54 кКал,"5,4 г",2 г,"2,6 г"
KFC Салат Коул Слоу (порция 130 гр) [Ростик'c - KFC],"158,6 кКал","14,7 г","1,8 г","10,3 г"
KFC САЛАТ ЦЕЗАРЬ (порция 211 гр) [Ростик'c - KFC],"335,5 кКал","18,4 г","22,2 г","19,2 г"
KFC Салат ЦЕЗАРЬ овощной (порция 155 гр) [Ростик'c - KFC],"173,6 кКал","10,7 г","8,5 г","10,7 г"
"KFC СПРАЙТ/ 7UP Большой 0,75л (порция 750 гр) [Ростик'c - KFC]","217,5 кКал","52,5 г",0 г,0 г
"KFC СПРАЙТ/ 7UP Детский 0,3л (порция 300 гр) [Ростик'c - KFC]",87 кКал,21 г,0 г,0 г
"KFC СПРАЙТ/ 7UP Малый 0,4л (порция 400 гр) [Ростик'c - KFC]",116 кКал,28 г,0 г,0 г
"KFC СПРАЙТ/ 7UP Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC]",145 кКал,35 г,0 г,0 г
KFC топпинг клубничный (порция 15 гр) [Ростик'c - KFC],"33,5 кКал","8,2 г",0 г,0 г
KFC топпинг мокка-карамель (порция 15 гр) [Ростик'c - KFC],"43,1 кКал","10,8 г",0 г,0 г
KFC топпинг шоколадный (порция 15 гр) [Ростик'c - KFC],"38,6 кКал","9,1 г","0,2 г","0,2 г"
"KFC ФАНТА/ МИРИНДА Большой 0,75л (порция 750 гр) [Ростик'c - KFC]","232,5 кКал","56,3 г",0 г,0 г
"KFC ФАНТА/ МИРИНДА Детский 0,3л (порция 300 гр) [Ростик'c - KFC]",93 кКал,"22,5 г",0 г,0 г
"KFC ФАНТА/ МИРИНДА Малый 0,4л (порция 400 гр) [Ростик'c - KFC]",124 кКал,30 г,0 г,0 г
"KFC ФАНТА/ МИРИНДА Стандарт 0,5л (порция 500 гр) [Ростик'c - KFC]",155 кКал,"37,5 г",0 г,0 г
KFC ЧИЗКЕЙК С ИЗЮМОМ (порция 104 гр) [Ростик'c - KFC],"283,9 кКал","32,7 г","7,7 г","13,4 г"
KFC ЧИЗКЕЙК С КЛУБНИЧНЫМ ТОППИНГОМ (порция 114 гр) [Ростик'c - KFC],"304,4 кКал","38,1 г","7,8 г","13,5 г"
KFC ЧИЗКЕЙК С ТОППИНГОМ МОККА-КАРАМЕЛЬ (порция 114 гр) [Ростик'c - KFC],"311,2 кКал","39,9 г","7,8 г","13,5 г"
KFC ЧИЗКЕЙК С ШОКОЛАДНЫМ ТОППИНГОМ (порция 114 гр) [Ростик'c - KFC],"307,8 кКал","38,6 г","7,9 г","13,6 г"
King Go Креветки [Ростик'c - KFC],290 кКал,7 г,44 г,9 г
Азиатский Твистер [Ростик'c - KFC],462 кКал,"53,1 г","21,8 г",18 г
Ай-Твистер Новый [Ростик'c - KFC],230 кКал,"24,8 г","10,8 г","9,7 г"
Ай-Твистер Русс [Ростик'c - KFC],259 кКал,"24,3 г","10,4 г","13,3 г"
Ай-Твистер Терияки [Ростик'c - KFC],224 кКал,"29,4 г","9,7 г","7,6 г"
Ай-Твистер Чиз [Ростик'c - KFC],245 кКал,"23,1 г","11,4 г","11,9 г"
Ай-Твистер Чизз-BBQ [Ростик'c - KFC],229 кКал,"25,9 г","11,5 г","8,8 г"
Айскофе [Ростик'c - KFC],29 кКал,3 г,"1,8 г","1,1 г"
Американо [Ростик'c - KFC],17 кКал,"2,9 г","0,2 г","0,5 г"
Американо [Ростик'c - KFC],78 кКал,"15,6 г","0,6 г","1,5 г"
Байтс [Ростик'c - KFC],268 кКал,"16,6 г","23,5 г","11,9 г"
Байтс Терияки [Ростик'c - KFC],296 кКал,"29,8 г",19 г,"11,3 г"
Байтсы [Ростик'c - KFC],220 кКал,"8,4 г","20,8 г","11,5 г"
Байтсы [Ростик'c - KFC],220 кКал,"8,4 г","20,8 г","11,5 г"
Байтсы Большие [Ростик'c - KFC],767 кКал,"40,2 г","61,7 г","39,9 г"
Байтсы из Куриного Филе [Ростик'c - KFC],256 кКал,"13,4 г","20,6 г","13,3 г"
Байтсы из Куриного Филе Острые [Ростик'c - KFC],804 кКал,"49,8 г","70,5 г","35,7 г"
Байтсы из Куриного Филе с Соусом Барбекю [Ростик'c - KFC],240 кКал,"22,3 г","17,5 г","8,9 г"
Байтсы Малые [Ростик'c - KFC],243 кКал,"12,7 г","19,5 г","12,6 г"
Байтсы Средние [Ростик'c - KFC],220 кКал,"8,4 г","20,8 г","11,5 г"
Байтсы Терияки [Ростик'c - KFC],301 кКал,"30,7 г","16,9 г","12,3 г"
Банановое Мороженое [Ростик'c - KFC],147 кКал,"27,1 г","2,8 г","3,1 г"
