Продукт,Калорийность,Углеводы,Белки,Жиры
Настой барбарисовый,"178,7 кКал","47,7 г",0 г,0 г
Ногайский чай (карачаево-черкесский национальный напиток),"105,4 кКал","3,3 г","2,6 г","9,2 г"
Отвар из шиповника,"18,8 кКал","4,4 г","0,3 г","0,1 г"
Пинемень куслят (кисель овсяный - мордовское национальное блюдо),"54,9 кКал","11,1 г","1,6 г","0,8 г"
Сбитень,"58,1 кКал","13,5 г","0,2 г","0,7 г"
Сбитень по Новониколаевски,"68,7 кКал","18,2 г","0,1 г","0,009 г"
Студенческий напиток,"13,9 кКал","2,3 г","1,2 г","0,03 г"
Тыквенный кисель,"101,5 кКал",13 г,"1,9 г",5 г
Хлебный квас,27 кКал,"5,2 г","0,2 г",0 г
Чай брусничный,"26,4 кКал",7 г,"0,02 г","0,02 г"
Чай из душицы,"27,1 кКал","7,2 г","0,01 г",0 г
Чай рябиновый,"9,2 кКал",2 г,"0,3 г","0,05 г"
Чай с лимоном,"41,1 кКал","10,6 г","0,2 г","0,05 г"
Чай с молоком или сливками,"52,9 кКал","11,3 г","0,9 г","0,8 г"
"Чай с сахаром, вареньем, джемом, медом, повидлом","41,7 кКал","10,8 г","0,2 г","0,05 г"
Чай с яблоками,"17,2 кКал","3,7 г","0,3 г","0,2 г"
Чай фруктовый с абрикосами,"169,8 кКал","39,4 г","4,7 г","0,4 г"
Черника с молоком,60 кКал,"8,2 г","2,2 г","2,3 г"
Яблочный пунш,75 кКал,"19,1 г","0,3 г","0,3 г"
Ягодная наливка,"124,1 кКал","31,6 г","0,6 г","0,4 г"
